season,game_id,game_date,season_phase,game_time_et,matchup_key,player_id,player,team_abbr,opponent_abbr,is_home,starter,position,minutes,points,rebounds,assists,three_made,three_attempts,turnovers,steals,blocks,oreb,dreb,personal_fouls,fgm,fga,ftm,fta,plus_minus,team_score,opponent_score,PTS,REB,AST,THREES,PRA,PA,PR,RA,source
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,2529130,Natasha Howard,DAL,IND,True,True,F,25.0,10,3,3,2,4,3,1,3,1,2,2,4,11,0,0,-1,79,76,10.0,3.0,3.0,2.0,16.0,13.0,13.0,6.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,3913903,Teaira McCowan,DAL,IND,True,True,C,19.0,8,10,1,0,0,0,1,1,4,6,4,4,6,0,0,-6,79,76,8.0,10.0,1.0,0.0,19.0,9.0,18.0,11.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,3904577,Arike Ogunbowale,DAL,IND,True,True,G,36.0,19,3,3,1,7,2,1,0,0,3,4,9,24,0,0,-2,79,76,19.0,3.0,3.0,1.0,25.0,22.0,22.0,6.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4066527,Jaelyn Brown,DAL,IND,True,True,G,30.0,21,5,1,3,7,1,1,0,3,2,1,7,15,4,4,+3,79,76,21.0,5.0,1.0,3.0,27.0,22.0,26.0,6.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4398935,Veronica Burton,DAL,IND,True,True,G,8.0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,-11,79,76,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,2284331,Emma Cannon,DAL,IND,True,False,F,6.0,0,1,2,0,0,1,0,0,0,1,2,0,1,0,0,+5,79,76,0.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4399415,Maddy Siegrist,DAL,IND,True,False,F,16.0,6,3,1,0,2,0,0,1,0,3,0,2,6,2,2,+8,79,76,6.0,3.0,1.0,0.0,10.0,7.0,9.0,4.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,3916514,Kalani Brown,DAL,IND,True,False,C,18.0,6,3,0,0,0,0,0,2,1,2,0,1,3,4,6,+9,79,76,6.0,3.0,0.0,0.0,9.0,6.0,9.0,3.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,5106150,Stephanie Soares,DAL,IND,True,False,C,4.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,-4,79,76,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,3910737,Katrina Pardee,DAL,IND,True,False,G,2.0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,+3,79,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,espn_site_api
