"game_date","player","player_id","team","opponent","is_home","market","line","over_odds","under_odds","sportsbook_count","game_total","spread","line_last_updated","source_book","source_url","source_note","backfill_rank","backfill_priority_score","pregame_projection","pregame_projected_minutes","pregame_sample_size","recent_games","fill_priority_note"
"2026-07-06","Cecilia Zandalasini","4257500","GS","WAS","0","THREES","1.5","121","-165","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Cotie McMahon","","WAS","GS","1","PTS","7.5","-128","-102","1","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel","","","","","","",""
"2026-07-06","Cotie McMahon","","WAS","GS","1","REB","2.5","-170","126","2","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel","","","","","","",""
"2026-07-06","Courtney Williams","2987891","MIN","CON","1","AST","4.5","-158","118","1","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel","","","","","","",""
"2026-07-06","Courtney Williams","2987891","MIN","CON","1","PTS","18.5","-2","-130","4","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Courtney Williams","2987891","MIN","CON","1","REB","5.5","-125","-106","4","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Courtney Williams","2987891","MIN","CON","1","THREES","1.5","-104","-132","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, Hard Rock","","","","","","",""
"2026-07-06","Dearica Hamby","2566106","LA","SEA","1","PTS","14.5","-128","-103","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars","","","","","","",""
"2026-07-06","Dearica Hamby","2566106","LA","SEA","1","REB","7.5","-130","-1","4","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Dominique Malonga","5220150","SEA","LA","0","PTS","17.5","-115","-118","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Erica Wheeler","2491214","LA","SEA","1","PTS","9.5","-107","-124","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Erica Wheeler","2491214","LA","SEA","1","THREES","1.5","134","-180","4","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Flau'jae Johnson","4698736","SEA","LA","0","PTS","12.5","-105","-128","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Flau'jae Johnson","4698736","SEA","LA","0","REB","5.5","-106","-125","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Flau'jae Johnson","4698736","SEA","LA","0","THREES","1.5","100","-136","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Gabby Williams","3142328","GS","WAS","0","PTS","14.5","-115","-115","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Gabby Williams","3142328","GS","WAS","0","REB","3.5","-110","-125","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
