game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,source_projection,source_book,source_market,source_url,source_event_id,line_last_updated
2026-05-08,Sabrina Ionescu,4066533,NY,CON,AST,5.5,-130,102,2,0.0,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Georgia Amoore,4704180,WSH,TOR,AST,4.5,114,100,2,4.09,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
2026-05-08,Natisha Hiedeman,3906753,SEA,GS,AST,4.5,130,-150,2,3.95,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905840,2026-05-08T23:27:20Z
2026-05-08,Breanna Stewart,2998928,NY,CON,AST,3.5,-135,124,2,4.23,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Ezi Magbegor,4420318,SEA,GS,AST,2.5,125,-160,2,0.0,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905840,2026-05-08T23:27:20Z
2026-05-08,Marina Mabrey,3904576,CON,NY,AST,3.5,-112,-104,2,4.21,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
2026-05-08,Marine Johannes,4038379,NY,CON,AST,3.5,-115,-110,2,3.42,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Satou Sabally,4281929,PHX,LV,AST,3.5,100,-130,2,0.0,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Saniya Rivers,4433514,CON,NY,AST,3.5,110,-125,2,4.04,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Betnijah Laney-Hamilton,2593770,NY,CON,AST,3.5,115,-120,2,3.76,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Brittney Sykes,2988756,TOR,WSH,AST,3.5,135,-160,2,3.55,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
2026-05-08,Sonia Citron,4433524,WSH,TOR,AST,3.5,140,-175,2,3.27,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
2026-05-08,Jade Melbourne,5017726,SEA,GS,AST,2.5,-135,105,2,2.89,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905840,2026-05-08T23:27:20Z
2026-05-08,Flau'jae Johnson,4698736,SEA,GS,AST,2.5,-130,102,2,2.03,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905840,2026-05-08T23:27:20Z
2026-05-08,Shakira Austin,4398911,WSH,TOR,AST,2.5,-130,102,2,2.26,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
2026-05-08,Lauren Betts,5105737,WSH,TOR,AST,2.5,115,-145,2,2.61,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
2026-05-08,Kennedy Burke,3922628,CON,NY,AST,1.5,-145,115,2,2.01,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Aaliyah Edwards,4433408,CON,NY,AST,1.5,-140,110,2,0.0,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Temi Fagbenle,2569044,TOR,WSH,AST,1.5,-135,105,2,1.78,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
2026-05-08,Kiki Iriafen,4898384,WSH,TOR,AST,1.5,-135,105,2,2.22,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
