selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,sportsbook_count,projected_value,line_gap,abs_line_gap,wf_confidence,meta_prob_correct,projected_minutes,minutes_volatility,starter_rate_last10,lineup_status,availability_status,rotation_rank,minutes_trend,data_completeness_score,stake_level,team_recent_win_pct,opponent_recent_win_pct,market_synergy_boost,market_synergy_drag,estimated_accuracy_prior_pct,tier,model_action,base_score,context_score,context_adjustment,correlation_penalty,final_score,risk_flags,context_flags,premium_pockets
,3e81c86ec67e66433e09,2026-05-09,Luke Kennard,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",RA,UNDER,4.5,6,5.55,1.05,1.05,0.770621,0.748979,27.36,8.98,,EXPECTED,,6,-3.35,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.720502,0.5,0,0.07,0.650502,projection_side_split; auxiliary_side_sample_risk; volatile_minutes; recent_form_mismatch,volatile_minutes; recent_form_mismatch,
,369ecc7963d915d39796,2026-05-09,Donovan Mitchell,CLE,DET,DET@CLE,"May 9, 3:00 PM",THREES,OVER,2.5,9,3.04,0.54,0.54,0.720078,0.73589,36.59,2.85,,CONFIRMED,,2,0.65,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.717039,0.62,0,0.025,0.692039,auxiliary_side_sample_risk; recent_form_mismatch,recent_form_mismatch,
,3031dd4f89e379504f26,2026-05-09,Jarrett Allen,CLE,DET,DET@CLE,"May 9, 3:00 PM",PR,UNDER,19.5,9,21.42,1.92,1.92,0.677449,0.588395,28.91,4.3,,CONFIRMED,,4,-0.22,100,PLAYOFF_HIGH_LEVERAGE,0,1,5.73,0,,C,COVERAGE,0.717033,0.551575,0,0.025,0.692033,projection_side_split; teammate_synergy_against_side; recent_form_mismatch,teammate_synergy_against_side; recent_form_mismatch,
,09f14e6a175d2558fa62,2026-05-09,Jarrett Allen,CLE,DET,DET@CLE,"May 9, 3:00 PM",PRA,OVER,20.5,10,23.13,2.63,2.63,0.603121,0.493644,28.91,4.3,,CONFIRMED,,4,-0.22,100,PLAYOFF_HIGH_LEVERAGE,0,1,6.53,0,,C,COVERAGE,0.714322,0.62,0,0.025,0.689322,recent_form_mismatch,recent_form_mismatch,
,32b38fcf322e4abf23d8,2026-05-09,Jarrett Allen,CLE,DET,DET@CLE,"May 9, 3:00 PM",REB,OVER,7.5,11,8.71,1.21,1.21,0.732383,0.590119,28.91,4.3,,CONFIRMED,,4,-0.22,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.713229,0.585,0,0.025,0.688229,recent_form_mismatch,recent_form_mismatch,
,9a086967089d6d092b92,2026-05-09,Ausar Thompson,DET,CLE,DET@CLE,"May 9, 3:00 PM",PR,OVER,16.5,9,15.21,-1.29,1.29,0.743901,0.547336,32.73,5.43,,CONFIRMED,,5,-0.7,100,PLAYOFF_HIGH_LEVERAGE,1,0,5.67,0,,C,COVERAGE,0.712813,0.618075,0,0.2,0.512813,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,6404c2a1411fefd5c8c8,2026-05-09,Tobias Harris,DET,CLE,DET@CLE,"May 9, 3:00 PM",RA,OVER,8.5,9,8.09,-0.41,0.41,0.730081,0.716828,36.86,4.81,,CONFIRMED,,2,2.77,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.712704,0.61,0,0.2,0.512704,projection_side_split; thin_projection_gap; recent_form_mismatch,recent_form_mismatch,
,1776b8af64a601124698,2026-05-09,Tobias Harris,DET,CLE,DET@CLE,"May 9, 3:00 PM",PR,UNDER,24.5,10,23.09,-1.41,1.41,0.646973,0.58518,36.86,4.81,,CONFIRMED,,2,2.77,100,PLAYOFF_HIGH_LEVERAGE,1,0,7.71,0,,C,COVERAGE,0.71098,0.525,0,0.07,0.64098,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,
,3ad5b91ae5056d793ace,2026-05-09,Marcus Smart,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",PRA,OVER,18.5,11,20.74,2.24,2.24,0.574047,0.517811,34.13,5.76,,EXPECTED,,5,1.58,100,PLAYOFF_HIGH_LEVERAGE,0,1,10.12,0,,C,COVERAGE,0.710555,0.625,0,0.07,0.640555,recent_form_mismatch,recent_form_mismatch,
,3e7e8054b0ed19e58dad,2026-05-09,Chet Holmgren,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",PR,OVER,25.5,10,27.41,1.91,1.91,0.661964,0.483586,32.41,5.36,,EXPECTED,,2,4.85,100,PLAYOFF_HIGH_LEVERAGE,1,0,9.49,4.06,,C,COVERAGE,0.710139,0.621675,0,0.025,0.685139,recent_form_mismatch,recent_form_mismatch,
