selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,projected_value,line_gap,wf_confidence,meta_prob_correct,estimated_accuracy_prior_pct,tier,model_action,base_score,correlation_penalty,final_score,risk_flags,premium_pockets
4,62cbc03422626e0e26b7,2026-05-05,Cade Cunningham,DET,CLE,CLE@DET,"May 5, 7:00 PM",PA,UNDER,37.5,34.48,-3.02,0.673199,0.554028,89.06,C,SELECTED,0.811228,0.025,0.786228,,
,b925d25c3af81905a60e,2026-05-05,Ajay Mitchell,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,15.5,13.52,-1.98,0.705486,0.580216,89.61,B,CANDIDATE,0.809996,0.095,0.714996,projection_side_split,
,b6fa5442bd37e36f4dee,2026-05-05,Luke Kennard,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",RA,OVER,4.5,6.75,2.25,0.693655,0.71292,89.06,C,CANDIDATE,0.809405,0.113,0.696405,,
,1be821fc667a228e8999,2026-05-05,LeBron James,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PA,UNDER,28.5,31.57,3.07,0.576916,0.575983,89.06,C,CANDIDATE,0.806971,0.119,0.687971,projection_side_split,
,eac912747b57eba46ebc,2026-05-05,Cade Cunningham,DET,CLE,CLE@DET,"May 5, 7:00 PM",PRA,UNDER,43.5,40.03,-3.47,0.619268,0.548507,89.06,C,CANDIDATE,0.805747,0.119,0.686747,,
,f2cfeb13730a10ad7612,2026-05-05,Rui Hachimura,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PR,UNDER,16,18.37,2.37,0.701491,0.554803,89.06,C,CANDIDATE,0.804629,0.113,0.691629,projection_side_split,
,6de102672eaf163c5fb9,2026-05-05,Rui Hachimura,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PRA,UNDER,17.5,19.56,2.06,0.697069,0.581322,89.06,C,CANDIDATE,0.804279,0.119,0.685279,projection_side_split,
,77ae0ea367d58065197d,2026-05-05,Deandre Ayton,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PR,OVER,17.5,23.83,6.33,0.703639,0.421097,89.06,C,CANDIDATE,0.80293,0.113,0.68993,,
,af3a09c5f754699f3391,2026-05-05,Deandre Ayton,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PRA,OVER,18.5,24.95,6.45,0.671219,0.462548,89.06,C,CANDIDATE,0.802897,0.119,0.683897,,
,a9001c501311d59a1424,2026-05-05,Jarrett Allen,CLE,DET,CLE@DET,"May 5, 7:00 PM",RA,UNDER,8.5,10.65,2.15,0.721371,0.659868,89.06,C,CANDIDATE,0.800416,0.113,0.687416,projection_side_split,
,bfae8e7f12d868a29226,2026-05-05,Rui Hachimura,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PTS,UNDER,12.5,13.71,1.21,0.666796,0.565195,90.16,B,CANDIDATE,0.799185,0.095,0.704185,projection_side_split,
,527e6fb63850638f5546,2026-05-05,Jaylin Williams,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",THREES,OVER,0.5,1.07,0.57,0.84941,0.841487,90.16,B,CANDIDATE,0.79867,0.095,0.70367,low_projected_minutes,
,223197301b3d8aec9184,2026-05-05,Isaiah Hartenstein,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PRA,UNDER,19.5,20.72,1.22,0.764917,0.729542,89.06,C,CANDIDATE,0.797642,0.119,0.678642,projection_side_split,
,7e68883438e1b976b86e,2026-05-05,Rui Hachimura,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",THREES,OVER,1.5,2.57,1.07,0.72639,0.719047,89.06,C,CANDIDATE,0.797438,0.095,0.702438,,
,f77b6b078388ff70001e,2026-05-05,Luguentz Dort,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",THREES,OVER,1.5,2.18,0.68,0.787181,0.782652,89.06,C,CANDIDATE,0.795952,0.095,0.700952,,
,35f4cb71deffa136ead7,2026-05-05,Luke Kennard,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",THREES,OVER,1.5,2.34,0.84,0.732911,0.759943,89.06,C,CANDIDATE,0.795454,0.095,0.700454,,
,ac72ff454c7b353775c7,2026-05-05,Isaiah Joe,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",THREES,UNDER,1.5,2.53,1.03,0.788352,0.799542,89.06,C,CANDIDATE,0.793794,0.095,0.698794,low_projected_minutes; projection_side_split,
,b5a01924c5f9c1daae5a,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",THREES,OVER,1.5,2.4,0.9,0.72927,0.719047,89.06,C,CANDIDATE,0.793423,0.095,0.698423,,
,d3b0cb06a213a07dc3e1,2026-05-05,LeBron James,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PR,OVER,27.5,30.13,2.63,0.612032,0.470097,89.06,C,CANDIDATE,0.788601,0.113,0.675601,,
,e061df5ab7e0444c6c3e,2026-05-05,Cason Wallace,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",THREES,OVER,0.5,1.22,0.72,0.788897,0.786774,89.06,C,CANDIDATE,0.788304,0.095,0.693304,low_projected_minutes,
,42725f1e462b2d65a917,2026-05-05,Luke Kennard,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PRA,OVER,12.5,15.52,3.02,0.557893,0.520053,89.06,C,CANDIDATE,0.787966,0.119,0.668966,,
,25e5561f8591c5ae4262,2026-05-05,James Harden,CLE,DET,CLE@DET,"May 5, 7:00 PM",RA,OVER,11.5,12.98,1.48,0.686233,0.684196,89.06,C,CANDIDATE,0.786264,0.113,0.673264,,
,5272946fe4480c3fdd77,2026-05-05,Max Strus,CLE,DET,CLE@DET,"May 5, 7:00 PM",THREES,OVER,1.5,2.2,0.7,0.788082,0.782652,89.06,C,CANDIDATE,0.785514,0.095,0.690514,,
,eb92347f5ea43efcd89d,2026-05-05,LeBron James,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PRA,OVER,35.5,39.28,3.78,0.505154,0.513334,89.06,C,CANDIDATE,0.785282,0.119,0.666282,,
,7a127ed569ba6bef62c0,2026-05-05,James Harden,CLE,DET,CLE@DET,"May 5, 7:00 PM",AST,UNDER,6.5,7.81,1.31,0.632335,0.523941,90.16,B,CANDIDATE,0.784873,0.095,0.689873,projection_side_split,
,3b9d87ee5edaebfb8492,2026-05-05,Ajay Mitchell,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",RA,UNDER,7.5,8.24,0.74,0.712858,0.709787,89.06,C,CANDIDATE,0.783756,0.113,0.670756,projection_side_split,
,5bf0f1eb22fd449d5b7b,2026-05-05,Chet Holmgren,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PRA,UNDER,26.5,27.12,0.62,0.715714,0.71851,89.06,C,CANDIDATE,0.783741,0.119,0.664741,projection_side_split,
,d8d7f628ffdb46a2d187,2026-05-05,Duncan Robinson,DET,CLE,CLE@DET,"May 5, 7:00 PM",THREES,OVER,2.5,2.86,0.36,0.75116,0.752453,89.06,C,CANDIDATE,0.783274,0.095,0.688274,thin_projection_gap,
,b25b9d32eafdf7796b22,2026-05-05,James Harden,CLE,DET,CLE@DET,"May 5, 7:00 PM",THREES,OVER,2.5,2.81,0.31,0.740527,0.73589,89.06,C,CANDIDATE,0.782074,0.095,0.687074,thin_projection_gap,
,8da34ca373db4076f132,2026-05-05,Jalen Duren,DET,CLE,CLE@DET,"May 5, 7:00 PM",PR,OVER,26.5,24.78,-1.72,0.70479,0.569802,89.06,C,CANDIDATE,0.781156,0.113,0.668156,projection_side_split,
,88a60b04c602914a7c13,2026-05-05,Isaiah Stewart,DET,CLE,CLE@DET,"May 5, 7:00 PM",THREES,OVER,0.5,0.39,-0.11,0.845016,0.845142,90.16,B,CANDIDATE,0.781124,0.095,0.686124,low_projected_minutes; projection_side_split; thin_projection_gap,
,fbc7e81c94a42224025d,2026-05-05,Cade Cunningham,DET,CLE,CLE@DET,"May 5, 7:00 PM",PR,UNDER,33.5,31.26,-2.24,0.600281,0.57156,89.06,C,CANDIDATE,0.78029,0.113,0.66729,,
,e4784b93bd4dc612c248,2026-05-05,Jalen Duren,DET,CLE,CLE@DET,"May 5, 7:00 PM",PRA,OVER,28.5,27.04,-1.46,0.742319,0.594531,89.06,C,COVERAGE,0.77944,0.119,0.66044,projection_side_split,
,a9fe1c686d4b15db6589,2026-05-05,Jarrett Allen,CLE,DET,CLE@DET,"May 5, 7:00 PM",PR,UNDER,20.5,22.37,1.87,0.663926,0.601454,89.06,C,COVERAGE,0.779432,0.113,0.666432,projection_side_split,
,5e8898994aedafe82db9,2026-05-05,Chet Holmgren,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PA,UNDER,17.5,17.85,0.35,0.738208,0.73893,89.06,C,COVERAGE,0.778449,0.119,0.659449,projection_side_split; thin_projection_gap,
,42bf4739b80b61795518,2026-05-05,Rui Hachimura,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",REB,UNDER,3.5,4.66,1.16,0.614077,0.4893,90.16,B,CANDIDATE,0.777737,0.107,0.670737,projection_side_split,
,54ccddfe532518610a9f,2026-05-05,Rui Hachimura,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",RA,OVER,4.5,5.85,1.35,0.681113,0.653769,89.06,C,COVERAGE,0.777616,0.113,0.664616,,
,3ec87292e4b2a871d944,2026-05-05,Evan Mobley,CLE,DET,CLE@DET,"May 5, 7:00 PM",RA,UNDER,11.5,12.64,1.14,0.679322,0.657688,89.06,C,COVERAGE,0.777242,0.113,0.664242,projection_side_split,
,da5869c4e494c78191fe,2026-05-05,Ajay Mitchell,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",AST,UNDER,3.5,4.34,0.84,0.725741,0.626247,89.06,C,COVERAGE,0.777046,0.095,0.682046,projection_side_split,
,e6b32d445cfa2251ba86,2026-05-05,James Harden,CLE,DET,CLE@DET,"May 5, 7:00 PM",PR,UNDER,23.5,25.65,2.15,0.591802,0.576304,89.06,C,COVERAGE,0.777028,0.113,0.664028,projection_side_split,
,7332982125c5474c84b9,2026-05-05,Jake LaRavia,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",THREES,OVER,0.5,0.66,0.16,0.852304,0.813751,89.61,B,CANDIDATE,0.776735,0.095,0.681735,low_projected_minutes; thin_projection_gap,
,82f6ecd9899b2f14643a,2026-05-05,James Harden,CLE,DET,CLE@DET,"May 5, 7:00 PM",PRA,OVER,30.5,33.46,2.96,0.516365,0.477121,89.06,C,COVERAGE,0.776164,0.119,0.657164,,
,def6b4ceb01ae775a76d,2026-05-05,Cade Cunningham,DET,CLE,CLE@DET,"May 5, 7:00 PM",PTS,UNDER,27.5,25.71,-1.79,0.63592,0.538477,89.06,C,COVERAGE,0.775074,0.095,0.680074,,
,12c57bce1de109c5be03,2026-05-05,Cason Wallace,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PA,UNDER,9.5,7.7,-1.8,0.714028,0.653545,89.06,C,COVERAGE,0.774976,0.119,0.655976,low_projected_minutes,
,ed19426591e73a01b9ae,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PR,OVER,12.5,14.35,1.85,0.658043,0.492409,89.06,C,COVERAGE,0.774206,0.113,0.661206,,
,951509be68b1b5bd76db,2026-05-05,Ausar Thompson,DET,CLE,CLE@DET,"May 5, 7:00 PM",PRA,UNDER,19.5,19.4,-0.1,0.747687,0.708773,89.06,C,COVERAGE,0.773967,0.119,0.654967,thin_projection_gap,
,83de44d794608d50020e,2026-05-05,Rui Hachimura,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PA,UNDER,13.5,14.9,1.4,0.697069,0.595966,89.06,C,COVERAGE,0.773729,0.119,0.654729,projection_side_split,
,c6fc8678fb8f1cb1367e,2026-05-05,LeBron James,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,20.5,22.42,1.92,0.622399,0.48344,89.06,C,COVERAGE,0.773401,0.095,0.678401,,
,aa9302a9bd6a0864fa68,2026-05-05,Dean Wade,CLE,DET,CLE@DET,"May 5, 7:00 PM",THREES,OVER,0.5,1.24,0.74,0.787496,0.782652,89.06,C,COVERAGE,0.773375,0.095,0.678375,,
,db81783022cb32a8bccb,2026-05-05,Isaiah Hartenstein,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",RA,OVER,11.5,12.81,1.31,0.735893,0.572483,89.06,C,COVERAGE,0.77283,0.113,0.65983,,
,be6c5e4dbab24826c1ce,2026-05-05,Jaylon Tyson,CLE,DET,CLE@DET,"May 5, 7:00 PM",PRA,OVER,10.5,12.29,1.79,0.721139,0.694841,89.06,C,COVERAGE,0.772504,0.119,0.653504,low_projected_minutes,
,79d5f2f1c8a101343d46,2026-05-05,Evan Mobley,CLE,DET,CLE@DET,"May 5, 7:00 PM",THREES,OVER,0.5,1.07,0.57,0.753838,0.740396,89.06,C,COVERAGE,0.772034,0.095,0.677034,,
,d958b5dbcfaaf9ba0c91,2026-05-05,Jalen Duren,DET,CLE,CLE@DET,"May 5, 7:00 PM",PTS,UNDER,16.5,14.49,-2.01,0.587936,0.551358,89.06,C,COVERAGE,0.770273,0.095,0.675273,,
,69315b7e9e3481eea44e,2026-05-05,Isaiah Hartenstein,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",REB,OVER,8.5,9.57,1.07,0.752944,0.56904,89.06,C,COVERAGE,0.769017,0.107,0.662017,,
,032731dd8107cd15f135,2026-05-05,Javonte Green,DET,CLE,CLE@DET,"May 5, 7:00 PM",THREES,OVER,0.5,0.85,0.35,0.84941,0.8473,89.06,C,COVERAGE,0.768337,0.095,0.673337,low_projected_minutes; thin_projection_gap,
,c322eaf5b73f422616e3,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,9.5,10.95,1.45,0.63737,0.51238,89.06,C,COVERAGE,0.767614,0.095,0.672614,,
,bff6824e665a7b793dec,2026-05-05,Donovan Mitchell,CLE,DET,CLE@DET,"May 5, 7:00 PM",THREES,UNDER,2.5,3.03,0.53,0.658764,0.693824,89.06,C,COVERAGE,0.767334,0.095,0.672334,projection_side_split,
,b13297d451da7ab1b1b8,2026-05-05,Evan Mobley,CLE,DET,CLE@DET,"May 5, 7:00 PM",PR,UNDER,24.5,25.64,1.14,0.668615,0.593279,89.06,C,COVERAGE,0.766298,0.113,0.653298,projection_side_split,
,c75a33561cda5307c495,2026-05-05,Jarrett Allen,CLE,DET,CLE@DET,"May 5, 7:00 PM",PRA,OVER,21.5,23.96,2.46,0.57314,0.51093,89.06,C,COVERAGE,0.76615,0.119,0.64715,,
,50e39294a9592cd2bfe2,2026-05-05,Tobias Harris,DET,CLE,CLE@DET,"May 5, 7:00 PM",PA,UNDER,19.5,18.24,-1.26,0.681756,0.583359,89.06,C,COVERAGE,0.765474,0.119,0.646474,,
,03b4106fd29f504f2818,2026-05-05,Daniss Jenkins,DET,CLE,CLE@DET,"May 5, 7:00 PM",PA,UNDER,11.5,10.34,-1.16,0.786259,0.742811,89.06,C,COVERAGE,0.765325,0.119,0.646325,low_projected_minutes,
,b2c246b41cbbbc8ad7d1,2026-05-05,Cason Wallace,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,6.5,5.26,-1.24,0.719829,0.573951,89.06,C,COVERAGE,0.764944,0.095,0.669944,low_projected_minutes; projection_side_split,
,28e5ca38a5b3cd6b2e28,2026-05-05,Isaiah Joe,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PR,OVER,8.5,9.2,0.7,0.82571,0.713574,89.06,C,COVERAGE,0.764683,0.113,0.651683,low_projected_minutes,
,e5cc0804c9bd591477d1,2026-05-05,Jalen Duren,DET,CLE,CLE@DET,"May 5, 7:00 PM",REB,OVER,10.5,10.29,-0.21,0.752981,0.639099,89.06,C,COVERAGE,0.764265,0.107,0.657265,projection_side_split; thin_projection_gap,
,e61c71fb5d419b911121,2026-05-05,Tobias Harris,DET,CLE,CLE@DET,"May 5, 7:00 PM",RA,OVER,8.5,8.33,-0.17,0.730081,0.716828,89.06,C,COVERAGE,0.763792,0.113,0.650792,projection_side_split; thin_projection_gap,
,24aaaedf617f82e12866,2026-05-05,LeBron James,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",AST,OVER,7.5,9.15,1.65,0.590807,0.505279,89.06,C,COVERAGE,0.763572,0.095,0.668572,,
,fc1d175d655a48afc595,2026-05-05,Isaiah Hartenstein,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PR,OVER,16.5,17.48,0.98,0.747299,0.585505,89.06,C,COVERAGE,0.762906,0.113,0.649906,,
,9002cbea9758991ff20f,2026-05-05,Duncan Robinson,DET,CLE,CLE@DET,"May 5, 7:00 PM",RA,OVER,4.5,5.03,0.53,0.735432,0.735843,89.06,C,COVERAGE,0.76265,0.113,0.64965,,
,1259ec9429e9f6d13e29,2026-05-05,Chet Holmgren,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",RA,OVER,10.5,11.15,0.65,0.724385,0.585757,89.06,C,COVERAGE,0.762517,0.113,0.649517,,
,e343e89fd29a67a39d2d,2026-05-05,Shai Gilgeous-Alexander,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",THREES,UNDER,1.5,1.71,0.21,0.651326,0.693824,89.06,C,COVERAGE,0.762462,0.095,0.667462,projection_side_split; thin_projection_gap,
,f8631586fc78ec62fad7,2026-05-05,Tobias Harris,DET,CLE,CLE@DET,"May 5, 7:00 PM",PTS,UNDER,17.5,16.45,-1.05,0.668597,0.541198,89.06,C,COVERAGE,0.761603,0.095,0.666603,,
,6c03c9c52a9c305556b6,2026-05-05,Marcus Smart,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",REB,OVER,2.5,3.4,0.9,0.690269,0.537072,89.06,C,COVERAGE,0.760927,0.107,0.653927,,
,7a17e474c0b172c94679,2026-05-05,Isaiah Hartenstein,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",AST,UNDER,2.5,3.24,0.74,0.740706,0.589816,89.06,C,COVERAGE,0.760923,0.095,0.665923,projection_side_split,
,4228f79e1efdeb6644c4,2026-05-05,Jalen Duren,DET,CLE,CLE@DET,"May 5, 7:00 PM",PA,UNDER,18.5,16.75,-1.75,0.632642,0.578116,89.06,C,COVERAGE,0.760133,0.119,0.641133,,
,2ec092733a03fa63ef3a,2026-05-05,Isaiah Joe,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,6.5,7.17,0.67,0.79561,0.618078,89.06,C,COVERAGE,0.760095,0.095,0.665095,low_projected_minutes,
,f9434abc077ff0454d46,2026-05-05,Isaiah Stewart,DET,CLE,CLE@DET,"May 5, 7:00 PM",PR,OVER,7.5,8.29,0.79,0.827113,0.730229,89.06,C,COVERAGE,0.759667,0.113,0.646667,low_projected_minutes,
,942d08f9644d794772d6,2026-05-05,Luke Kennard,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",AST,OVER,1.5,3.5,2,0.624479,0.492345,89.06,C,COVERAGE,0.759406,0.095,0.664406,,
,2f245ad177ec86f1c0f1,2026-05-05,Alex Caruso,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",THREES,UNDER,1.5,1.52,0.02,0.776026,0.785091,89.06,C,COVERAGE,0.758052,0.095,0.663052,low_projected_minutes; projection_side_split; thin_projection_gap,
,3836c1b23a43f54991ae,2026-05-05,Jake LaRavia,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",REB,OVER,2.5,3.1,0.6,0.810288,0.633047,89.06,C,COVERAGE,0.757966,0.107,0.650966,low_projected_minutes,
,fc5001f52cd1aacff36e,2026-05-05,Chet Holmgren,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,16.5,15.97,-0.53,0.694875,0.577069,89.06,C,COVERAGE,0.757788,0.095,0.662788,projection_side_split,
,f350e6042dd187d516f6,2026-05-05,Ajay Mitchell,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",REB,OVER,3.5,3.9,0.4,0.718352,0.574135,89.06,C,COVERAGE,0.756687,0.107,0.649687,thin_projection_gap,
,123c86f2306cbd37445d,2026-05-05,Jarrett Allen,CLE,DET,CLE@DET,"May 5, 7:00 PM",PTS,UNDER,12.5,13.31,0.81,0.705747,0.545381,89.06,C,COVERAGE,0.755842,0.095,0.660842,projection_side_split,
,9853a16b2580ee9b8a9e,2026-05-05,Austin Reaves,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",RA,OVER,9.5,10.01,0.51,0.724385,0.494737,89.06,C,COVERAGE,0.755474,0.113,0.642474,,
,3012a9129a251f0742b3,2026-05-05,Jake LaRavia,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PTS,OVER,4.5,3.51,-0.99,0.789692,0.631037,89.06,C,COVERAGE,0.754378,0.095,0.659378,low_projected_minutes; projection_side_split,
,b0bb70482a7eb2fc65ae,2026-05-05,Alex Caruso,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",RA,OVER,4.5,5.34,0.84,0.782207,0.772734,89.06,C,COVERAGE,0.754301,0.113,0.641301,low_projected_minutes; minimum_book_depth,
,ee21b3b90d48c378b090,2026-05-05,Cason Wallace,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",REB,OVER,2.5,3.2,0.7,0.760823,0.546505,89.06,C,COVERAGE,0.75408,0.107,0.64708,low_projected_minutes,
,1ee2fef0d65c2704232a,2026-05-05,Evan Mobley,CLE,DET,CLE@DET,"May 5, 7:00 PM",REB,OVER,8.5,9.13,0.63,0.672653,0.56172,89.06,C,COVERAGE,0.754006,0.107,0.647006,,
,6b0b6b8dd3e1b03eb673,2026-05-05,Shai Gilgeous-Alexander,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PTS,UNDER,30.5,31,0.5,0.670817,0.551121,89.06,C,COVERAGE,0.753725,0.095,0.658725,projection_side_split,
,f7fe8011402d154365a2,2026-05-05,Cason Wallace,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",PR,UNDER,10,8.46,-1.54,0.679925,0.585948,89.06,C,COVERAGE,0.752441,0.113,0.639441,low_projected_minutes,
,c0c85c4e85d02f1dd2c5,2026-05-05,Evan Mobley,CLE,DET,CLE@DET,"May 5, 7:00 PM",PTS,OVER,15.5,16.51,1.01,0.627509,0.530017,89.06,C,COVERAGE,0.751575,0.095,0.656575,,
,7abcdaa266a0bd6860a3,2026-05-05,Cade Cunningham,DET,CLE,CLE@DET,"May 5, 7:00 PM",RA,OVER,14.5,14.32,-0.18,0.730269,0.584494,89.06,C,COVERAGE,0.750566,0.113,0.637566,projection_side_split; thin_projection_gap,
,b91738780bbeb9236398,2026-05-05,Jaxson Hayes,LAL,OKC,LAL@OKC,"May 5, 8:30 PM",PRA,OVER,9.5,8.77,-0.73,0.743211,0.7124,89.06,C,COVERAGE,0.750469,0.119,0.631469,low_projected_minutes; projection_side_split,
,bc13c429788791fadf3a,2026-05-05,Jaylin Williams,OKC,LAL,LAL@OKC,"May 5, 8:30 PM",RA,UNDER,4.5,5.71,1.21,0.746991,0.612293,89.06,C,COVERAGE,0.749934,0.113,0.636934,low_projected_minutes; projection_side_split,
