gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-12-15,PTS,28.5,23.5,28.5,-120,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Rockets @ Nuggets,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/11124310&market=points&filter=Nikola%20Jokic
2025-12-15,REB,11.5,11,11.5,-115,-132,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Rockets @ Nuggets,prizepicks,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/11124310&market=rebounds&filter=Nikola%20Jokic
2025-12-18,AST,10.5,9.5,10.5,-115.5,-137.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Magic @ Nuggets,bet365,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496730&market=assists&filter=Nikola%20Jokic
2025-12-18,PTS,30.5,29.5,31.5,-119.5,-124,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Magic @ Nuggets,riverscasino,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496730&market=points&filter=Nikola%20Jokic
2025-12-18,REB,12.5,12,12.5,-105,-128,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Magic @ Nuggets,prizepicks,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496730&market=rebounds&filter=Nikola%20Jokic
2025-12-20,AST,10.5,9.5,10.5,-110,-125,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Rockets @ Nuggets,fanatics,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496810&market=assists&filter=Nikola%20Jokic
2025-12-20,PTS,29.5,29.5,30.5,-117,-114,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Rockets @ Nuggets,fanduel,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496810&market=points&filter=Nikola%20Jokic
2025-12-20,REB,11.5,11.5,11.5,-120,-114,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Rockets @ Nuggets,fanduel,betmgm,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8496810&market=rebounds&filter=Nikola%20Jokic
2025-12-22,AST,10.5,9.5,10.5,-127,-108,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Jazz @ Nuggets,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497050&market=assists&filter=Nikola%20Jokic
2025-12-22,PTS,30.5,30.5,31.5,-115,-124,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Jazz @ Nuggets,draftkings,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497050&market=points&filter=Nikola%20Jokic
2025-12-22,REB,12.5,12.5,12.5,-112,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Jazz @ Nuggets,fanduel,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497050&market=rebounds&filter=Nikola%20Jokic
2025-12-23,AST,10.5,10.5,10.5,-6,-135.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Mavericks,fanduel,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497020&market=assists&filter=Nikola%20Jokic
2025-12-23,PTS,29.5,29.5,30.5,-120,-118.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Mavericks,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497020&market=points&filter=Nikola%20Jokic
2025-12-23,REB,12.5,12.5,12.5,-122,-117,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Mavericks,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497020&market=rebounds&filter=Nikola%20Jokic
2025-12-25,AST,10.5,8.5,10.5,-120,-125.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Timberwolves @ Nuggets,fanatics,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8484110&market=assists&filter=Nikola%20Jokic
2025-12-25,PTS,29.5,29.5,32.5,-122,-118,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Timberwolves @ Nuggets,bet365,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8484110&market=points&filter=Nikola%20Jokic
2025-12-25,REB,11.5,11.5,12.5,-136.5,-103,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Timberwolves @ Nuggets,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8484110&market=rebounds&filter=Nikola%20Jokic
2025-12-27,AST,10.5,9.5,10.5,-1,-136,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Magic,riverscasino,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497210&market=assists&filter=Nikola%20Jokic
2025-12-27,PTS,29.5,29.5,30.5,-120,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Magic,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497210&market=points&filter=Nikola%20Jokic
2025-12-27,REB,12.5,12,13.5,-108,-134,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Magic,prizepicks,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497210&market=rebounds&filter=Nikola%20Jokic
2025-12-29,AST,11.25,10.5,11.5,-121,-131,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Heat,draftkings,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497490&market=assists&filter=Nikola%20Jokic
