gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-12-29,PTS,30.5,28.5,30.5,-120,-123,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Heat,riverscasino,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8497490&market=points&filter=Nikola%20Jokic
2026-01-30,PTS,21.5,20.5,21.5,-121,-113.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Clippers @ Nuggets,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8636000&market=points&filter=Nikola%20Jokic
2026-02-01,PTS,24.5,23.5,26.5,-124,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Thunder @ Nuggets,riverscasino,prizepicks,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8678130&market=points&filter=Nikola%20Jokic
2026-02-03,PTS,24.5,23.5,24.5,-115,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Pistons,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8708660&market=points&filter=Nikola%20Jokic
2026-02-04,PTS,23.5,23.5,23.5,-118,-121,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Knicks,fanatics,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8711990&market=points&filter=Nikola%20Jokic
2026-02-07,PTS,28,26.5,28.5,-119,-120.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Bulls,hardrock,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/9123460&market=points&filter=Nikola%20Jokic
2026-02-09,PTS,28.5,27.5,28.5,-124,-122.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Cavaliers @ Nuggets,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/9138760&market=points&filter=Nikola%20Jokic
2026-02-11,PTS,26.5,24.5,27.5,-110,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Grizzlies @ Nuggets,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/9147970&market=points&filter=Nikola%20Jokic
2026-02-19,PTS,26.5,25.5,26.5,-115,-119,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Clippers,betmgm,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/9236430&market=points&filter=Nikola%20Jokic
2026-02-20,PTS,29.5,27.5,29.5,-120,-114,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Trail Blazers,draftkings,betmgm,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/9627230&market=points&filter=Nikola%20Jokic
2026-02-22,PTS,27.5,27.5,29.5,-125,-116,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Warriors,hardrock,underdog,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10353200&market=points&filter=Nikola%20Jokic
2026-02-25,PTS,27.5,27.5,28.5,-117,-118,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Celtics @ Nuggets,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10370460&market=points&filter=Nikola%20Jokic
2026-02-27,PTS,26.5,26.5,28.5,-113.5,-123,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Thunder,draftkings,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10371990&market=points&filter=Nikola%20Jokic
2026-03-01,PTS,29.5,28.5,30.5,-115,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Timberwolves @ Nuggets,hardrock,sleeper,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10568320&market=points&filter=Nikola%20Jokic
2026-03-02,PTS,28,27.5,29.5,-120,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Jazz,fanatics,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10568830&market=points&filter=Nikola%20Jokic
2026-03-05,PTS,28.5,28.5,30.5,-115,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Lakers @ Nuggets,fanduel,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10570640&market=points&filter=Nikola%20Jokic
2026-03-06,PTS,26.5,24.5,26.5,-122.5,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Knicks @ Nuggets,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10571340&market=points&filter=Nikola%20Jokic
2026-03-09,PTS,26.5,25.5,27.5,-120,-123,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Thunder,prizepicks,betmgm,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575060&market=points&filter=Nikola%20Jokic
