playerName,team,games,points,rebounds,assists,threes,pointsPerGame,reboundsPerGame,assistsPerGame,threesPerGame
Giannis Antetokounmpo,MIL,32,893.1000000000001,345.20000000000005,198.59999999999997,22.899999999999995,27.91,10.79,6.21,0.72
Anthony Black,ORL,62,887.8000000000001,267.4,278.1,117.19999999999997,14.32,4.31,4.49,1.89
Brandon Miller,CHA,47,881.5000000000001,218.09999999999997,176.60000000000002,167.10000000000002,18.76,4.64,3.76,3.56
Immanuel Quickley,TOR,60,877.8000000000001,241.9,316.30000000000007,166.79999999999998,14.63,4.03,5.27,2.78
Bam Adebayo,MIA,56,872.4,456.3999999999999,178.20000000000002,92.59999999999998,15.58,8.15,3.18,1.65
Derrick White,BOS,59,868.6,267.6999999999999,324.89999999999986,160.80000000000007,14.72,4.54,5.51,2.73
Jalen Duren,DET,50,867.5000000000001,483.5999999999999,89.29999999999997,0,17.35,9.67,1.79,0
Jaden McDaniels,MIN,60,862.3999999999997,295.49999999999994,196.00000000000003,103.39999999999999,14.37,4.92,3.27,1.72
Chet Holmgren,OKC,53,861.8,434.1999999999999,107.49999999999997,79.79999999999998,16.26,8.19,2.03,1.51
Andrew Wiggins,MIA,59,855.1000000000003,292.2999999999999,171.40000000000003,135.99999999999997,14.49,4.95,2.91,2.31
Amen Thompson,HOU,58,851.7999999999997,365.8,287.1,23.799999999999997,14.69,6.31,4.95,0.41
Jerami Grant,POR,47,851.2,187.10000000000002,110.4,116.50000000000006,18.11,3.98,2.35,2.48
Jaren Jackson Jr.,MEM,49,847.9,262.09999999999997,98.80000000000001,95.49999999999999,17.3,5.35,2.02,1.95
VJ Edgecombe,PHI,57,845.8,330.79999999999995,231.20000000000002,137.4,14.84,5.8,4.06,2.41
Andrew Nembhard,IND,50,839.8999999999999,149.3,380.90000000000015,119.60000000000004,16.8,2.99,7.62,2.39
Mikal Bridges,NYK,63,830.8,259.09999999999997,254.19999999999996,123.20000000000002,13.19,4.11,4.03,1.96
Naji Marshall,DAL,61,830.7000000000002,298.5,187.50000000000006,60.000000000000014,13.62,4.89,3.07,0.98
Matas Buzelis,CHI,65,829.3000000000001,330.30000000000007,135.29999999999998,140.59999999999997,12.76,5.08,2.08,2.16
Zach LaVine,SAC,43,828.9000000000002,133.70000000000005,122.10000000000002,143.49999999999997,19.28,3.11,2.84,3.34
Onyeka Okongwu,ATL,58,825.4000000000002,419.5999999999998,193.30000000000004,124.70000000000002,14.23,7.23,3.33,2.15
Jabari Smith Jr.,HOU,59,811.8000000000001,364.1,108.80000000000001,159.79999999999993,13.76,6.17,1.84,2.71
Russell Westbrook,SAC,56,809.4000000000001,299.3000000000001,363.60000000000014,117.69999999999999,14.45,5.34,6.49,2.1
LeBron James,LAL,42,789.5,226.60000000000002,260.2,60.70000000000001,18.8,5.4,6.2,1.45
Jeremiah Fears,NOP,61,785.2000000000002,253.80000000000004,222.2,77.10000000000001,12.87,4.16,3.64,1.26
Evan Mobley,CLE,48,772.5999999999999,375.59999999999997,198.3000000000001,58.30000000000001,16.1,7.82,4.13,1.21
Jaime Jaquez Jr.,MIA,60,772.5000000000001,295.6,278.1,37.1,12.88,4.93,4.64,0.62
Jimmy Butler,GSW,40,768.0999999999999,231.00000000000003,206.70000000000002,34.60000000000001,19.2,5.78,5.17,0.87
Collin Gillespie,PHX,61,763.4000000000001,267.90000000000003,287.4,212.50000000000003,12.51,4.39,4.71,3.48
Naz Reid,MIN,61,747.8,365.5000000000001,150.20000000000002,152.09999999999997,12.26,5.99,2.46,2.49
Austin Reaves,LAL,36,742.5999999999998,162.5,168.70000000000002,79.90000000000002,20.63,4.51,4.69,2.22
Nikola Vucevic,CHI,59,741.4000000000001,451.8000000000001,202.09999999999997,86.2,12.57,7.66,3.43,1.46
Jarrett Allen,CLE,51,728,402.1000000000001,102.19999999999997,0.5,14.27,7.88,2,0.01
Donte DiVincenzo,MIN,63,725.2000000000002,288.3,289.6000000000001,213.90000000000003,11.51,4.58,4.6,3.4
Anfernee Simons,BOS,58,722.4999999999998,151.5,138.99999999999997,143.60000000000002,12.46,2.61,2.4,2.48
Toumani Camara,POR,61,717.6000000000001,313.1000000000001,167.90000000000003,184.3,11.76,5.13,2.75,3.02
Tim Hardaway Jr.,DEN,62,715.9000000000003,170.29999999999998,94.8,170.5,11.55,2.75,1.53,2.75
Stephon Castle,SAS,51,713.6000000000001,233.60000000000002,315.90000000000003,52,13.99,4.58,6.19,1.02
De'Aaron Fox,SAS,52,712.9,158.8,282.50000000000006,82.00000000000001,13.71,3.05,5.43,1.58
Reed Sheppard,HOU,61,711.6,159,186.10000000000005,183.89999999999998,11.67,2.61,3.05,3.01
Duncan Robinson,DET,59,708.1,205.49999999999994,150.7,214.40000000000003,12,3.48,2.55,3.63
OG Anunoby,NYK,48,705.8999999999999,259.40000000000003,95.09999999999998,110.99999999999997,14.71,5.4,1.98,2.31
Kyle Kuzma,MIL,57,699.2,295.99999999999994,163.70000000000002,73.60000000000001,12.27,5.19,2.87,1.29
Derik Queen,NOP,58,699.1,430.09999999999997,267.99999999999994,25.3,12.05,7.42,4.62,0.44
Josh Giddey,CHI,44,694.3999999999997,315.6,323.29999999999995,69.10000000000001,15.78,7.17,7.35,1.57
Nicolas Claxton,BKN,56,692.7000000000002,410.8,259.29999999999995,2.8000000000000003,12.37,7.34,4.63,0.05
Wendell Carter Jr.,ORL,60,691.2,482.29999999999995,167.89999999999995,74.2,11.52,8.04,2.8,1.24
Bobby Portis,MIL,59,690.5999999999999,373.30000000000007,100.70000000000002,119.69999999999999,11.71,6.33,1.71,2.03
Brice Sensabaugh,UTA,58,689.4999999999999,181.3,100.4,117.29999999999998,11.89,3.13,1.73,2.02
Myles Turner,MIL,56,682.1999999999999,315.99999999999994,107.29999999999998,148.10000000000002,12.18,5.64,1.92,2.64
Joel Embiid,PHI,34,681.7,207.70000000000002,121.3,38.4,20.05,6.11,3.57,1.13
Ayo Dosunmu,CHI,55,679.3000000000001,166.90000000000003,183.8,109.8,12.35,3.03,3.34,2
Noah Clowney,BKN,55,678.6,259.29999999999995,109.50000000000001,135.3,12.34,4.71,1.99,2.46
Bennedict Mathurin,IND,37,678.3,215.60000000000002,113.6,82.00000000000001,18.33,5.83,3.07,2.22
Brandin Podziemski,GSW,63,678.0999999999999,294.9000000000001,237.80000000000007,120.6,10.76,4.68,3.77,1.91
Kel'el Ware,MIA,61,675.1,528.7999999999998,35.3,62.20000000000001,11.07,8.67,0.58,1.02
Collin Sexton,CHA,55,666.1000000000001,128.60000000000002,182.20000000000002,90.1,12.11,2.34,3.31,1.64
Grayson Allen,PHX,41,664.4,124.4,183.80000000000004,161.00000000000003,16.2,3.03,4.48,3.93
Kyshawn George,WAS,49,658.8000000000002,243.90000000000003,214.49999999999994,110.89999999999999,13.44,4.98,4.38,2.26
Jarace Walker,IND,61,655.9,347.3,164.89999999999995,112.6,10.75,5.69,2.7,1.85
Alexandre Sarr,WAS,43,655.4000000000001,305.49999999999994,135.70000000000002,43.900000000000006,15.24,7.1,3.16,1.02
Keldon Johnson,SAS,63,653.7999999999998,306.40000000000003,75.6,63.1,10.38,4.86,1.2,1
Jaylen Wells,MEM,60,650.5999999999999,225.29999999999998,112.60000000000001,118.10000000000001,10.84,3.76,1.88,1.97
Deandre Ayton,LAL,55,645.4999999999998,455.70000000000005,62.39999999999999,0,11.74,8.29,1.13,0
Quentin Grimes,PHI,54,640.1000000000004,195.40000000000003,209.1,132.1,11.85,3.62,3.87,2.45
Franz Wagner,ORL,31,638.5000000000001,184.39999999999998,136.4,62.3,20.6,5.95,4.4,2.01
Donovan Clingan,POR,58,636,580.3,129.20000000000002,77.10000000000001,10.97,10.01,2.23,1.33
Peyton Watson,DEN,54,634.6,239.5,97.29999999999997,64.2,11.75,4.44,1.8,1.19
Jaylon Tyson,CLE,59,633.4,298.80000000000007,145.1,116.20000000000002,10.74,5.06,2.46,1.97
RJ Barrett,TOR,39,628.4,213.7,157.69999999999993,64.5,16.11,5.48,4.04,1.65
Julian Champagnie,SAS,63,621.5999999999999,299.59999999999985,95.4,171.39999999999998,9.87,4.76,1.51,2.72
Sandro Mamukelashvili,TOR,62,616.8,287.00000000000006,117.7,100.7,9.95,4.63,1.9,1.62
Max Christie,DAL,57,616.7000000000002,185.30000000000004,136.90000000000003,147.50000000000003,10.82,3.25,2.4,2.59
Devin Vassell,SAS,50,609.9000000000001,172.99999999999997,124.10000000000002,134.4,12.2,3.46,2.48,2.69
Rudy Gobert,MIN,60,606.6000000000001,581.2999999999998,123.09999999999998,0,10.11,9.69,2.05,0
Moses Moody,GSW,58,603.4000000000001,189.4,100.8,152.89999999999992,10.4,3.27,1.74,2.64
Cam Spencer,MEM,59,601.4000000000002,179.1,324.6,129.7,10.19,3.04,5.5,2.2
Dennis Schröder,SAC,53,598.6,174.9,271.2,79.40000000000002,11.29,3.3,5.12,1.5
P.J. Washington,DAL,46,592.0999999999999,282.6000000000001,91.9,68.30000000000001,12.87,6.14,2,1.48
John Collins,LAC,55,585.5,265.59999999999997,54.89999999999999,66.8,10.65,4.83,1,1.21
Cedric Coward,MEM,53,584,275.29999999999995,144.79999999999995,79.60000000000002,11.02,5.19,2.73,1.5
Malik Monk,SAC,49,574.8000000000001,92.6,149.99999999999997,134.4,11.73,1.89,3.06,2.74
Ace Bailey,UTA,54,573.1999999999999,208.90000000000003,89.30000000000001,81.20000000000002,10.61,3.87,1.65,1.5
Brandon Williams,DAL,50,573.1,143.6,224.20000000000002,33.00000000000001,11.46,2.87,4.48,0.66
Tre Johnson,WAS,48,571.4000000000001,169,122.3,113.4,11.9,3.52,2.55,2.36
Jock Landale,MEM,58,570.1,358.0999999999999,108.50000000000001,73.4,9.83,6.17,1.87,1.27
De'Andre Hunter,CLE,48,569.0000000000001,192.29999999999998,88.5,76.00000000000001,11.85,4.01,1.84,1.58
Dyson Daniels,ATL,60,566.8,349.09999999999997,337.99999999999994,10.800000000000002,9.45,5.82,5.63,0.18
Kevin Porter Jr.,MIL,36,562.3000000000002,158.50000000000003,234,47,15.62,4.4,6.5,1.31
Tobias Harris,DET,44,560.6,268.1,127.79999999999998,62.50000000000001,12.74,6.09,2.9,1.42
Klay Thompson,DAL,57,559.9000000000001,129.7,68.90000000000002,162.3,9.82,2.28,1.21,2.85
AJ Green,MIL,57,557.4000000000001,180.10000000000002,125.9,198.09999999999997,9.78,3.16,2.21,3.48
Maxime Raynaud,SAC,56,556.1,391.3999999999999,82,10.6,9.93,6.99,1.46,0.19
Kelly Oubre Jr.,PHI,40,555.5,203.10000000000002,87.49999999999999,89.90000000000002,13.89,5.08,2.19,2.25
Santi Aldama,MEM,48,554.1000000000001,267.3,114.60000000000004,76.4,11.54,5.57,2.39,1.59
Ivica Zubac,LAC,46,552.9000000000001,420,115.40000000000002,0,12.02,9.13,2.51,0
Mark Williams,PHX,54,550.0000000000001,401.19999999999993,50.3,1.9,10.19,7.43,0.93,0.04
Cam Thomas,BKN,34,548.5000000000001,95.60000000000001,125.19999999999999,58.00000000000001,16.13,2.81,3.68,1.71
