date,rule,cardSize,playerTabPicksOnDay,usedLegsOnDay,unusedLegsOnDay,cardIndex,card_hit,eligibleLegsOnDay,legA_correct,legA_line,legA_market,legA_player,legA_score,legA_side,legA_team,legB_correct,legB_line,legB_market,legB_player,legB_score,legB_side,legB_team,legC_correct,legC_line,legC_market,legC_player,legC_score,legC_side,legC_team,legD_correct,legD_line,legD_market,legD_player,legD_score,legD_side,legD_team,legE_correct,legE_line,legE_market,legE_player,legE_score,legE_side,legE_team,legF_correct,legF_line,legF_market,legF_player,legF_score,legF_side,legF_team
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,56,True,58,True,13.5,PTS,Kyshawn George,0.64128,UNDER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,57,True,58,True,3.5,AST,CJ McCollum,0.635786,UNDER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,58,True,58,True,17.5,PR,Alex Sarr,0.620403,OVER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,1,True,114,True,17.5,PTS,VJ Edgecombe,0.921656,UNDER,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,2,True,114,True,31.5,PA,Jalen Johnson,0.906408,UNDER,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,3,True,114,True,22.5,PRA,Deandre Ayton,0.899732,UNDER,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,4,True,114,True,10.5,RA,James Harden,0.897067,OVER,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,5,True,114,True,21.5,PA,Saddiq Bey,0.896864,UNDER,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,6,True,114,True,16.5,PA,Jaylen Wells,0.89659,UNDER,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,7,True,114,True,35.5,PR,Kawhi Leonard,0.895084,OVER,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,8,True,114,True,21.5,PRA,Aaron Nesmith,0.892865,UNDER,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,9,True,114,True,18.5,PR,Dyson Daniels,0.8928,OVER,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,10,True,114,True,26.5,PTS,Pascal Siakam,0.890946,UNDER,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,11,True,114,True,17.5,PA,John Collins,0.890593,UNDER,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,12,True,114,True,22.5,PA,Nickeil Alexander-Walker,0.890156,OVER,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,13,True,114,True,17.5,PTS,Scottie Barnes,0.889715,UNDER,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,14,True,114,True,9.5,RA,Cedric Coward,0.886859,OVER,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,15,True,114,True,12.5,PA,Jock Landale,0.885703,OVER,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,16,True,114,True,13.5,PR,Yves Missi,0.885269,OVER,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
