date,rule,selectedLegsOnDay,comboIndex,legA_rank,legA_player,legA_team,legA_market,legA_side,legA_line,legA_correct,legB_rank,legB_player,legB_team,legB_market,legB_side,legB_line,legB_correct,legC_rank,legC_player,legC_team,legC_market,legC_side,legC_line,legC_correct,combo_hit
2026-01-16,daily_top6_under_else_top3_triplets_v1,3,1,1,Alex Sarr,WAS,PTS,OVER,18.5,True,2,Donte DiVincenzo,MIN,PRA,OVER,14.5,True,3,Brandon Ingram,TOR,PTS,UNDER,23.5,True,True
2026-01-17,daily_top6_under_else_top3_triplets_v1,3,1,1,Cade Cunningham,DET,RA,OVER,11.5,False,2,Ace Bailey,UTA,PTS,OVER,13.5,True,3,Jalen Johnson,ATL,PTS,OVER,21.5,False,False
2026-01-18,daily_top6_under_else_top3_triplets_v1,4,1,1,Kevin Durant,HOU,PTS,UNDER,25.5,True,2,Cam Spencer,MEM,AST,UNDER,4.5,True,5,Jamal Shead,TOR,AST,UNDER,5.5,True,True
2026-01-18,daily_top6_under_else_top3_triplets_v1,4,2,1,Kevin Durant,HOU,PTS,UNDER,25.5,True,2,Cam Spencer,MEM,AST,UNDER,4.5,True,6,Kon Knueppel,CHA,REB,UNDER,4.5,True,True
2026-01-18,daily_top6_under_else_top3_triplets_v1,4,3,1,Kevin Durant,HOU,PTS,UNDER,25.5,True,5,Jamal Shead,TOR,AST,UNDER,5.5,True,6,Kon Knueppel,CHA,REB,UNDER,4.5,True,True
2026-01-18,daily_top6_under_else_top3_triplets_v1,4,4,2,Cam Spencer,MEM,AST,UNDER,4.5,True,5,Jamal Shead,TOR,AST,UNDER,5.5,True,6,Kon Knueppel,CHA,REB,UNDER,4.5,True,True
2026-01-19,daily_top6_under_else_top3_triplets_v1,3,1,1,Evan Mobley,CLE,PRA,OVER,22.5,True,2,Jalen Johnson,ATL,PTS,OVER,21.5,True,3,Cooper Flagg,DAL,PTS,UNDER,20.5,True,True
2026-01-20,daily_top6_under_else_top3_triplets_v1,4,1,1,Kevin Durant,HOU,PRA,UNDER,33.5,True,3,Scottie Barnes,TOR,REB,UNDER,9.5,True,5,Bam Adebayo,MIA,REB,UNDER,11.5,True,True
2026-01-20,daily_top6_under_else_top3_triplets_v1,4,2,1,Kevin Durant,HOU,PRA,UNDER,33.5,True,3,Scottie Barnes,TOR,REB,UNDER,9.5,True,6,Kris Dunn,LAC,THREES,UNDER,0.5,True,True
2026-01-20,daily_top6_under_else_top3_triplets_v1,4,3,1,Kevin Durant,HOU,PRA,UNDER,33.5,True,5,Bam Adebayo,MIA,REB,UNDER,11.5,True,6,Kris Dunn,LAC,THREES,UNDER,0.5,True,True
