date,rule,selectedLegsOnDay,comboIndex,legA_rank,legA_player,legA_team,legA_market,legA_side,legA_line,legA_correct,legB_rank,legB_player,legB_team,legB_market,legB_side,legB_line,legB_correct,legC_rank,legC_player,legC_team,legC_market,legC_side,legC_line,legC_correct,combo_hit
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,2,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,3,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,4,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,5,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,6,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,7,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,8,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,9,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,10,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-12-01,daily_top6_under_else_top3_triplets_v1,3,1,1,Cameron Johnson,DEN,PTS,UNDER,14.5,True,2,Andrew Nembhard,IND,PTS,OVER,16.5,True,3,Nickeil Alexander-Walker,ATL,PRA,OVER,23.5,True,True
2025-12-02,daily_top6_under_else_top3_triplets_v1,3,1,1,Brandon Ingram,TOR,PRA,UNDER,31.5,True,3,Payton Pritchard,BOS,PTS,UNDER,16.5,True,4,Saddiq Bey,NOP,REB,UNDER,6.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,1,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,2,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,3,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,4,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,5,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,6,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,7,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,8,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,9,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,10,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-04,daily_top6_under_else_top3_triplets_v1,3,1,1,Anthony Edwards,MIN,PTS,UNDER,29.5,True,4,Brandin Podziemski,GSW,PRA,UNDER,25.5,True,5,Kyle Filipowski,UTA,REB,UNDER,8.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,1,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,2,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,3,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,6,Duncan Robinson,DET,AST,UNDER,1.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,4,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,5,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,6,Duncan Robinson,DET,AST,UNDER,1.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,6,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,6,Duncan Robinson,DET,AST,UNDER,1.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,7,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,8,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,6,Duncan Robinson,DET,AST,UNDER,1.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,9,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,6,Duncan Robinson,DET,AST,UNDER,1.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,10,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,6,Duncan Robinson,DET,AST,UNDER,1.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,1,2,Duncan Robinson,DET,PTS,UNDER,10.5,True,3,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,4,Will Riley,WAS,THREES,UNDER,1.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,2,2,Duncan Robinson,DET,PTS,UNDER,10.5,True,3,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,5,Gui Santos,GSW,REB,UNDER,3.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,3,2,Duncan Robinson,DET,PTS,UNDER,10.5,True,3,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,6,P.J. Washington,DAL,AST,UNDER,1.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,4,2,Duncan Robinson,DET,PTS,UNDER,10.5,True,4,Will Riley,WAS,THREES,UNDER,1.5,True,5,Gui Santos,GSW,REB,UNDER,3.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,5,2,Duncan Robinson,DET,PTS,UNDER,10.5,True,4,Will Riley,WAS,THREES,UNDER,1.5,True,6,P.J. Washington,DAL,AST,UNDER,1.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,6,2,Duncan Robinson,DET,PTS,UNDER,10.5,True,5,Gui Santos,GSW,REB,UNDER,3.5,True,6,P.J. Washington,DAL,AST,UNDER,1.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,7,3,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,4,Will Riley,WAS,THREES,UNDER,1.5,True,5,Gui Santos,GSW,REB,UNDER,3.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,8,3,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,4,Will Riley,WAS,THREES,UNDER,1.5,True,6,P.J. Washington,DAL,AST,UNDER,1.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,9,3,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,5,Gui Santos,GSW,REB,UNDER,3.5,True,6,P.J. Washington,DAL,AST,UNDER,1.5,True,True
2025-12-06,daily_top6_under_else_top3_triplets_v1,5,10,4,Will Riley,WAS,THREES,UNDER,1.5,True,5,Gui Santos,GSW,REB,UNDER,3.5,True,6,P.J. Washington,DAL,AST,UNDER,1.5,True,True
2025-12-07,daily_top6_under_else_top3_triplets_v1,3,1,3,Brandon Miller,CHA,PTS,UNDER,21.5,True,4,Ajay Mitchell,OKC,AST,UNDER,4.5,True,5,Coby White,CHI,REB,UNDER,2.5,True,True
2025-12-08,daily_top6_under_else_top3_triplets_v1,3,1,1,De'Aaron Fox,SAS,PTS,UNDER,23.5,True,2,Grayson Allen,PHX,PTS,UNDER,18.5,True,3,Jay Huff,IND,PRA,UNDER,20.5,True,True
2025-12-09,daily_top6_under_else_top3_triplets_v1,3,1,1,Scottie Barnes,TOR,PRA,UNDER,31.5,True,2,Karl-Anthony Towns,NYK,PTS,UNDER,21.5,True,3,Desmond Bane,ORL,PTS,OVER,21.75,True,True
2025-12-10,daily_top6_under_else_top3_triplets_v1,3,1,1,Devin Vassell,SAS,PTS,UNDER,13.5,True,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,3,Deandre Ayton,LAL,PRA,UNDER,22.5,True,True
2025-12-11,daily_top6_under_else_top3_triplets_v1,4,1,1,Shaedon Sharpe,POR,PTS,UNDER,24.5,True,2,Nique Clifford,SAC,PRA,UNDER,14.5,True,3,Ryan Rollins,MIL,PTS,UNDER,18.5,True,True
2025-12-11,daily_top6_under_else_top3_triplets_v1,4,2,1,Shaedon Sharpe,POR,PTS,UNDER,24.5,True,2,Nique Clifford,SAC,PRA,UNDER,14.5,True,4,Kevin Durant,HOU,AST,UNDER,3.5,True,True
2025-12-11,daily_top6_under_else_top3_triplets_v1,4,3,1,Shaedon Sharpe,POR,PTS,UNDER,24.5,True,3,Ryan Rollins,MIL,PTS,UNDER,18.5,True,4,Kevin Durant,HOU,AST,UNDER,3.5,True,True
2025-12-11,daily_top6_under_else_top3_triplets_v1,4,4,2,Nique Clifford,SAC,PRA,UNDER,14.5,True,3,Ryan Rollins,MIL,PTS,UNDER,18.5,True,4,Kevin Durant,HOU,AST,UNDER,3.5,True,True
2025-12-12,daily_top6_under_else_top3_triplets_v1,3,1,1,Josh Giddey,CHI,RA,OVER,12.5,True,2,De'Anthony Melton,GSW,PTS,OVER,7.5,True,3,VJ Edgecombe,PHI,PTS,OVER,14.5,True,True
2025-12-13,daily_top6_under_else_top3_triplets_v1,3,1,1,Julian Champagnie,SAS,PTS,UNDER,7.5,True,3,Josh Hart,NYK,PTS,UNDER,12.5,True,4,Isaiah Hartenstein,OKC,AST,UNDER,2.5,True,True
2025-12-14,daily_top6_under_else_top3_triplets_v1,4,1,1,Isaac Okoro,CHI,PTS,UNDER,6.5,True,2,Ryan Rollins,MIL,PRA,UNDER,28.5,True,3,Grayson Allen,PHX,PTS,UNDER,15.5,True,True
2025-12-14,daily_top6_under_else_top3_triplets_v1,4,2,1,Isaac Okoro,CHI,PTS,UNDER,6.5,True,2,Ryan Rollins,MIL,PRA,UNDER,28.5,True,6,VJ Edgecombe,PHI,AST,UNDER,4.5,True,True
2025-12-14,daily_top6_under_else_top3_triplets_v1,4,3,1,Isaac Okoro,CHI,PTS,UNDER,6.5,True,3,Grayson Allen,PHX,PTS,UNDER,15.5,True,6,VJ Edgecombe,PHI,AST,UNDER,4.5,True,True
2025-12-14,daily_top6_under_else_top3_triplets_v1,4,4,2,Ryan Rollins,MIL,PRA,UNDER,28.5,True,3,Grayson Allen,PHX,PTS,UNDER,15.5,True,6,VJ Edgecombe,PHI,AST,UNDER,4.5,True,True
2025-12-15,daily_top6_under_else_top3_triplets_v1,3,1,1,P.J. Washington,DAL,PTS,UNDER,18.5,False,2,Bam Adebayo,MIA,PRA,UNDER,34.5,True,6,Ace Bailey,UTA,REB,UNDER,4.5,True,False
2025-12-17,daily_top6_under_else_top3_triplets_v1,3,1,1,Jaylon Tyson,CLE,RA,UNDER,6.5,True,2,Rudy Gobert,MIN,REB,OVER,11.5,True,3,Zach Collins,CHI,PTS,OVER,5.5,True,True
2025-12-18,daily_top6_under_else_top3_triplets_v1,4,1,1,Victor Wembanyama,SAS,PTS,UNDER,20.5,True,2,Ryan Rollins,MIL,PRA,UNDER,27.5,True,3,Zion Williamson,NOP,PTS,UNDER,18.5,True,True
2025-12-18,daily_top6_under_else_top3_triplets_v1,4,2,1,Victor Wembanyama,SAS,PTS,UNDER,20.5,True,2,Ryan Rollins,MIL,PRA,UNDER,27.5,True,6,Devin Booker,PHX,REB,UNDER,3.5,True,True
2025-12-18,daily_top6_under_else_top3_triplets_v1,4,3,1,Victor Wembanyama,SAS,PTS,UNDER,20.5,True,3,Zion Williamson,NOP,PTS,UNDER,18.5,True,6,Devin Booker,PHX,REB,UNDER,3.5,True,True
2025-12-18,daily_top6_under_else_top3_triplets_v1,4,4,2,Ryan Rollins,MIL,PRA,UNDER,27.5,True,3,Zion Williamson,NOP,PTS,UNDER,18.5,True,6,Devin Booker,PHX,REB,UNDER,3.5,True,True
2025-12-19,daily_top6_under_else_top3_triplets_v1,3,1,1,De'Aaron Fox,SAS,PTS,UNDER,19.5,True,2,Quentin Grimes,PHI,PRA,UNDER,16.5,True,3,Anthony Edwards,MIN,PTS,OVER,25.5,True,True
2025-12-20,daily_top6_under_else_top3_triplets_v1,3,1,1,Desmond Bane,ORL,PTS,OVER,23.5,True,2,Cade Cunningham,DET,RA,OVER,11.5,True,3,Toumani Camara,POR,PTS,OVER,14.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,1,1,CJ McCollum,WAS,PTS,UNDER,20.5,True,2,Anthony Edwards,MIN,PTS,UNDER,27.5,True,4,Ayo Dosunmu,CHI,REB,UNDER,1.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,2,1,CJ McCollum,WAS,PTS,UNDER,20.5,True,2,Anthony Edwards,MIN,PTS,UNDER,27.5,True,5,Mitchell Robinson,NYK,REB,UNDER,7.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,3,1,CJ McCollum,WAS,PTS,UNDER,20.5,True,2,Anthony Edwards,MIN,PTS,UNDER,27.5,True,6,Brandon Ingram,TOR,AST,UNDER,3.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,4,1,CJ McCollum,WAS,PTS,UNDER,20.5,True,4,Ayo Dosunmu,CHI,REB,UNDER,1.5,True,5,Mitchell Robinson,NYK,REB,UNDER,7.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,5,1,CJ McCollum,WAS,PTS,UNDER,20.5,True,4,Ayo Dosunmu,CHI,REB,UNDER,1.5,True,6,Brandon Ingram,TOR,AST,UNDER,3.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,6,1,CJ McCollum,WAS,PTS,UNDER,20.5,True,5,Mitchell Robinson,NYK,REB,UNDER,7.5,True,6,Brandon Ingram,TOR,AST,UNDER,3.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,7,2,Anthony Edwards,MIN,PTS,UNDER,27.5,True,4,Ayo Dosunmu,CHI,REB,UNDER,1.5,True,5,Mitchell Robinson,NYK,REB,UNDER,7.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,8,2,Anthony Edwards,MIN,PTS,UNDER,27.5,True,4,Ayo Dosunmu,CHI,REB,UNDER,1.5,True,6,Brandon Ingram,TOR,AST,UNDER,3.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,9,2,Anthony Edwards,MIN,PTS,UNDER,27.5,True,5,Mitchell Robinson,NYK,REB,UNDER,7.5,True,6,Brandon Ingram,TOR,AST,UNDER,3.5,True,True
2025-12-21,daily_top6_under_else_top3_triplets_v1,5,10,4,Ayo Dosunmu,CHI,REB,UNDER,1.5,True,5,Mitchell Robinson,NYK,REB,UNDER,7.5,True,6,Brandon Ingram,TOR,AST,UNDER,3.5,True,True
2025-12-22,daily_top6_under_else_top3_triplets_v1,3,1,1,Cooper Flagg,DAL,PTS,UNDER,20.5,True,3,Shaedon Sharpe,POR,PTS,UNDER,26.0,True,4,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-23,daily_top6_under_else_top3_triplets_v1,3,1,1,Ayo Dosunmu,CHI,PTS,UNDER,9.5,True,5,Victor Wembanyama,SAS,REB,UNDER,8.5,True,6,Bub Carrington,WAS,AST,UNDER,3.5,True,True
2025-12-25,daily_top6_under_else_top3_triplets_v1,3,1,1,Nikola Jokić,DEN,PRA,OVER,54.0,True,2,Devin Vassell,SAS,PTS,UNDER,13.5,True,3,Cooper Flagg,DAL,PTS,OVER,20.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,1,1,Kon Knueppel,CHA,PTS,UNDER,17.5,True,2,VJ Edgecombe,PHI,PTS,UNDER,14.5,True,4,Cam Spencer,MEM,AST,UNDER,5.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,2,1,Kon Knueppel,CHA,PTS,UNDER,17.5,True,2,VJ Edgecombe,PHI,PTS,UNDER,14.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,3,1,Kon Knueppel,CHA,PTS,UNDER,17.5,True,2,VJ Edgecombe,PHI,PTS,UNDER,14.5,True,6,Will Riley,WAS,THREES,UNDER,1.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,4,1,Kon Knueppel,CHA,PTS,UNDER,17.5,True,4,Cam Spencer,MEM,AST,UNDER,5.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,5,1,Kon Knueppel,CHA,PTS,UNDER,17.5,True,4,Cam Spencer,MEM,AST,UNDER,5.5,True,6,Will Riley,WAS,THREES,UNDER,1.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,6,1,Kon Knueppel,CHA,PTS,UNDER,17.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,6,Will Riley,WAS,THREES,UNDER,1.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,7,2,VJ Edgecombe,PHI,PTS,UNDER,14.5,True,4,Cam Spencer,MEM,AST,UNDER,5.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,8,2,VJ Edgecombe,PHI,PTS,UNDER,14.5,True,4,Cam Spencer,MEM,AST,UNDER,5.5,True,6,Will Riley,WAS,THREES,UNDER,1.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,9,2,VJ Edgecombe,PHI,PTS,UNDER,14.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,6,Will Riley,WAS,THREES,UNDER,1.5,True,True
2025-12-26,daily_top6_under_else_top3_triplets_v1,5,10,4,Cam Spencer,MEM,AST,UNDER,5.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,6,Will Riley,WAS,THREES,UNDER,1.5,True,True
2025-12-27,daily_top6_under_else_top3_triplets_v1,3,1,1,Russell Westbrook,SAC,RA,OVER,8.5,True,2,Nickeil Alexander-Walker,ATL,PTS,OVER,16.5,True,3,Bobby Portis,MIL,REB,OVER,6.5,True,True
2025-12-28,daily_top6_under_else_top3_triplets_v1,3,1,2,RJ Barrett,TOR,PTS,UNDER,13.5,True,3,Luka Dončić,LAL,PTS,UNDER,34.5,True,4,VJ Edgecombe,PHI,REB,UNDER,4.5,True,True
2025-12-29,daily_top6_under_else_top3_triplets_v1,3,1,1,Bobby Portis,MIL,REB,UNDER,6.25,True,2,Devin Booker,PHX,PTS,OVER,27.5,False,3,Deni Avdija,POR,PRA,OVER,37.5,True,False
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,1,1,Luka Dončić,LAL,PTS,UNDER,34.5,True,2,Quentin Grimes,PHI,RA,UNDER,9.5,True,4,DeMar DeRozan,SAC,AST,UNDER,3.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,2,1,Luka Dončić,LAL,PTS,UNDER,34.5,True,2,Quentin Grimes,PHI,RA,UNDER,9.5,True,5,Cam Spencer,MEM,AST,UNDER,5.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,3,1,Luka Dončić,LAL,PTS,UNDER,34.5,True,2,Quentin Grimes,PHI,RA,UNDER,9.5,True,6,James Harden,LAC,REB,UNDER,5.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,4,1,Luka Dončić,LAL,PTS,UNDER,34.5,True,4,DeMar DeRozan,SAC,AST,UNDER,3.5,True,5,Cam Spencer,MEM,AST,UNDER,5.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,5,1,Luka Dončić,LAL,PTS,UNDER,34.5,True,4,DeMar DeRozan,SAC,AST,UNDER,3.5,True,6,James Harden,LAC,REB,UNDER,5.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,6,1,Luka Dončić,LAL,PTS,UNDER,34.5,True,5,Cam Spencer,MEM,AST,UNDER,5.5,True,6,James Harden,LAC,REB,UNDER,5.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,7,2,Quentin Grimes,PHI,RA,UNDER,9.5,True,4,DeMar DeRozan,SAC,AST,UNDER,3.5,True,5,Cam Spencer,MEM,AST,UNDER,5.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,8,2,Quentin Grimes,PHI,RA,UNDER,9.5,True,4,DeMar DeRozan,SAC,AST,UNDER,3.5,True,6,James Harden,LAC,REB,UNDER,5.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,9,2,Quentin Grimes,PHI,RA,UNDER,9.5,True,5,Cam Spencer,MEM,AST,UNDER,5.5,True,6,James Harden,LAC,REB,UNDER,5.5,True,True
2025-12-30,daily_top6_under_else_top3_triplets_v1,5,10,4,DeMar DeRozan,SAC,AST,UNDER,3.5,True,5,Cam Spencer,MEM,AST,UNDER,5.5,True,6,James Harden,LAC,REB,UNDER,5.5,True,True
2025-12-31,daily_top6_under_else_top3_triplets_v1,3,1,1,Kyle Kuzma,MIL,PTS,UNDER,10.5,True,3,Jamal Murray,DEN,PTS,UNDER,27.5,True,4,Moussa Diabaté,CHA,REB,UNDER,12.5,True,True
2026-01-01,daily_top6_under_else_top3_triplets_v1,3,1,1,Kawhi Leonard,LAC,PRA,OVER,34.5,True,2,Cooper Flagg,DAL,PTS,UNDER,19.5,True,3,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2026-01-02,daily_top6_under_else_top3_triplets_v1,3,1,1,Luka Dončić,LAL,PTS,UNDER,35.5,True,2,Anthony Black,ORL,PRA,OVER,15.5,True,3,De'Aaron Fox,SAS,PTS,UNDER,24.5,True,True
2026-01-03,daily_top6_under_else_top3_triplets_v1,4,1,1,Kawhi Leonard,LAC,PTS,UNDER,28.5,True,2,Quentin Grimes,PHI,PRA,UNDER,16.5,False,3,Kyle Filipowski,UTA,REB,UNDER,7.5,True,False
2026-01-03,daily_top6_under_else_top3_triplets_v1,4,2,1,Kawhi Leonard,LAC,PTS,UNDER,28.5,True,2,Quentin Grimes,PHI,PRA,UNDER,16.5,False,5,Kevin Durant,HOU,AST,UNDER,4.5,False,False
2026-01-03,daily_top6_under_else_top3_triplets_v1,4,3,1,Kawhi Leonard,LAC,PTS,UNDER,28.5,True,3,Kyle Filipowski,UTA,REB,UNDER,7.5,True,5,Kevin Durant,HOU,AST,UNDER,4.5,False,False
2026-01-03,daily_top6_under_else_top3_triplets_v1,4,4,2,Quentin Grimes,PHI,PRA,UNDER,16.5,False,3,Kyle Filipowski,UTA,REB,UNDER,7.5,True,5,Kevin Durant,HOU,AST,UNDER,4.5,False,False
2026-01-04,daily_top6_under_else_top3_triplets_v1,3,1,1,Luka Dončić,LAL,PRA,OVER,51.5,True,2,Bobby Portis,MIL,REB,UNDER,5.5,False,3,Collin Gillespie,PHX,PTS,UNDER,14.5,True,False
2026-01-05,daily_top6_under_else_top3_triplets_v1,3,1,1,Deni Avdija,POR,PRA,OVER,35.5,True,2,Brandon Miller,CHA,PTS,OVER,17.5,True,3,Collin Gillespie,PHX,PTS,UNDER,12.5,True,True
2026-01-06,daily_top6_under_else_top3_triplets_v1,3,1,1,Jake LaRavia,LAL,PRA,UNDER,11.0,True,3,Desmond Bane,ORL,PTS,UNDER,22.5,True,4,Brandon Williams,DAL,REB,UNDER,2.5,True,True
2026-01-07,daily_top6_under_else_top3_triplets_v1,3,1,1,Luka Dončić,LAL,PTS,OVER,36.5,True,2,Nikola Vučević,CHI,PRA,OVER,21.5,True,3,Kyle Kuzma,MIL,PTS,UNDER,8.5,False,False
2026-01-08,daily_top6_under_else_top3_triplets_v1,3,1,1,Cooper Flagg,DAL,PTS,OVER,21.5,True,2,Sam Merrill,CLE,PTS,OVER,8.5,True,3,Kyle Filipowski,UTA,PRA,UNDER,27.5,True,True
2026-01-09,daily_top6_under_else_top3_triplets_v1,3,1,1,Jalen Johnson,ATL,PTS,OVER,25.5,True,2,Kawhi Leonard,LAC,PRA,OVER,31.5,True,3,Ryan Rollins,MIL,PTS,UNDER,14.5,True,True
2026-01-10,daily_top6_under_else_top3_triplets_v1,3,1,1,Cooper Flagg,DAL,PTS,UNDER,23.5,True,2,Bam Adebayo,MIA,PRA,UNDER,37.0,True,3,Brice Sensabaugh,UTA,PTS,OVER,16.5,True,True
