playerName,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
Devin Booker,44,86.36,57.14,true,45,86.67,64.29,true,44,88.64,50,true,44,88.64,64.29,true,16,100,80,true,16,93.75,20,true,16,93.75,60,true,16,87.5,40,true
Devin Carter,6,83.33,,true,6,100,,true,6,100,,true,6,100,,true,3,100,,true,3,100,,true,3,100,,true,3,100,,true
Dillon Brooks,48,95.83,46.67,true,47,89.36,60,true,48,85.42,66.67,true,43,88.37,53.85,true,22,90.91,14.29,true,22,90.91,57.14,true,22,81.82,42.86,true,22,86.36,42.86,true
Domantas Sabonis,19,84.21,50,true,18,94.44,50,true,19,94.74,33.33,true,15,86.67,80,true,5,100,,true,5,100,,true,5,100,,true,5,100,,true
Dominick Barlow,33,93.94,60,true,32,87.5,80,true,21,100,28.57,true,8,100,100,true,29,82.76,44.44,true,25,92,50,true,25,100,50,true,22,95.45,85.71,true
Donovan Mitchell,55,92.73,41.18,true,55,87.27,41.18,true,56,89.29,47.06,true,53,92.45,37.5,true,33,90.91,70,true,33,87.88,60,true,33,96.97,50,true,33,96.97,30,true
Donte DiVincenzo,63,93.65,47.37,true,62,83.87,52.63,true,63,87.3,57.89,true,60,81.67,55.56,true,39,84.62,50,true,39,82.05,41.67,true,39,92.31,41.67,true,39,87.18,41.67,true
Drake Powell,27,88.89,44.44,true,27,92.59,66.67,true,26,100,37.5,true,12,100,100,true,14,92.86,40,true,14,100,40,true,14,100,40,true,14,92.86,40,true
Duncan Robinson,59,91.53,61.11,true,59,86.44,55.56,true,59,86.44,72.22,true,57,87.72,61.11,true,39,87.18,58.33,true,39,94.87,50,true,39,92.31,41.67,true,39,87.18,25,true
Evan Mobley,49,89.8,40,true,48,95.83,66.67,true,49,89.8,66.67,true,42,90.48,46.15,true,28,89.29,33.33,true,28,96.43,55.56,true,26,84.62,25,true,28,92.86,66.67,true
Franz Wagner,26,84.62,37.5,true,26,100,37.5,true,26,96.15,87.5,true,21,95.24,42.86,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Gabe Vincent,22,95.45,57.14,true,21,95.24,42.86,true,21,85.71,42.86,true,7,100,,true,5,100,,true,5,100,,true,5,100,,true,5,100,,true
