date,selectedRank,modelAction,tier,playerName,teamCode,gameKey,market,side,line,actualValue,actualSide,correct,projectedValue,lineGap,absLineGap,wfConfidence,metaProbCorrect,projectedMinutes,minutesVolatility,starterRateLast10,expectedMinutes,minutesLiftPct,lineupTimingConfidence,completenessScore,openingTeamSpread,openingTotal,missingCoreShare,stepUpRoleFlag,estimatedAccuracyPriorPct,baseScore,contextScore,contextAdjustment,correlationPenalty,finalScore,rejectionReason,components,riskFlags,contextFlags,contextNotes
2025-11-02,6,SELECTED,A,Andrew Wiggins,MIA,0022500155,PTS,UNDER,19.5,15.0,UNDER,True,16.52,-2.98,2.98,0.987575,0.75,24.9,6.91,,24.9,-0.1785,,67.0,5.0,232.0,0.0,False,90.16,0.899832,0.495,0.0,0.006,0.893832,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness,thin_context_completeness,minutes_lift_supports_under;competitive_spread
2025-11-03,1,SELECTED,S,Nique Clifford,SAC,0022500162,REB,UNDER,2.5,1.0,UNDER,True,4.38,1.88,1.88,0.96791,0.75,23.73,5.37,,23.73,0.0,,53.0,11.5,237.0,0.0,False,94.8,0.857281,0.39,0.0,0.0,0.857281,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,projection_side_split;thin_context_completeness;blowout_spread_risk,thin_context_completeness;blowout_spread_risk,
2025-11-03,2,SELECTED,S,Josh Hart,NYK,0022500159,PTS,OVER,8.5,12.0,OVER,True,8.17,-0.33,0.33,0.943663,0.75,24.85,8.67,0.0,24.85,-0.3384,1.0,72.0,-13.0,234.0,0.0,False,94.8,0.848449,0.403,0.0,0.0,0.848449,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,projection_side_split;volatile_minutes;minutes_lift_against_side;blowout_spread_risk,volatile_minutes;minutes_lift_against_side;blowout_spread_risk,strong_lineup_timing;high_total_supports_counting_over
2025-11-03,3,SELECTED,S,Isaiah Stewart,DET,0022500161,AST,OVER,1.5,4.0,OVER,True,1.94,0.44,0.44,0.935027,0.75,18.55,5.86,,18.55,-0.229,,69.0,-4.0,235.5,0.0,False,94.8,0.839328,0.43,0.0,0.0,0.839328,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,low_projected_minutes;thin_context_completeness;minutes_lift_against_side,thin_context_completeness;minutes_lift_against_side,competitive_spread
2025-11-03,4,SELECTED,S,Klay Thompson,DAL,0022500160,AST,OVER,1.5,3.0,OVER,True,1.16,-0.34,0.34,0.884815,0.75,19.02,3.01,,19.02,-0.2948,,73.0,12.5,226.0,0.0,False,94.25,0.815767,0.45,0.0,0.006,0.809767,,live_quality_router_v9;top200_premium_90;top200_primary,low_projected_minutes;projection_side_split;minutes_lift_against_side;blowout_spread_risk,minutes_lift_against_side;blowout_spread_risk,stable_minutes
2025-11-03,5,SELECTED,A,Payton Pritchard,BOS,0022500158,PRA,UNDER,27.5,26.0,UNDER,True,22.82,-4.68,4.68,0.985945,0.75,30.95,4.31,,30.95,0.1362,,71.0,-10.5,233.0,0.0,False,90.16,0.905155,0.415,0.0,0.0,0.905155,,live_quality_router_v9;top200_accuracy_first;top200_primary,minutes_lift_against_side;blowout_spread_risk,minutes_lift_against_side;blowout_spread_risk,
2025-11-03,6,SELECTED,A,Pascal Siakam,IND,0022500157,PTS,OVER,26.5,32.0,OVER,True,22.2,-4.3,4.3,0.907399,0.75,30.39,9.24,0.0,30.39,-0.0718,,66.0,6.5,235.5,0.0,False,90.71,0.902723,0.393,0.0,0.006,0.896723,,live_quality_router_v9;top200_accuracy_first;top200_coverage_frontier;top200_primary,projection_side_split;thin_context_completeness;volatile_minutes,thin_context_completeness;volatile_minutes,high_total_supports_counting_over
2025-11-04,1,SELECTED,S,Nikola Vučević,CHI,0022500167,REB,UNDER,10.5,10.0,UNDER,True,12.42,1.92,1.92,0.927478,0.75,28.33,4.95,,28.33,-0.1229,,70.0,-1.5,238.5,0.0,False,95.15,0.910416,0.555,0.0,0.0,0.910416,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_coverage_frontier;top200_recent_form_fade;top200_primary,projection_side_split,,minutes_lift_supports_under;competitive_spread
2025-11-04,2,SELECTED,S,Bobby Portis,MIL,0022500165,AST,OVER,1.5,2.0,OVER,True,1.01,-0.49,0.49,0.882399,0.75,18.45,3.11,,18.45,-0.2605,,73.0,2.5,237.5,0.0,False,94.25,0.818382,0.525,0.0,0.0,0.818382,,live_quality_router_v9;top200_premium_90;top200_primary,low_projected_minutes;projection_side_split;minutes_lift_against_side,minutes_lift_against_side,stable_minutes;competitive_spread
2025-11-04,3,SELECTED,A,VJ Edgecombe,PHI,0022500167,PTS,UNDER,15.5,12.0,UNDER,True,21.45,5.95,5.95,0.979673,0.75,35.78,5.58,,35.78,0.0,,65.0,1.5,238.5,0.0,False,91.06,0.933429,0.445,0.0,0.025,0.908429,,live_quality_router_v9;top200_accuracy_first;top200_coverage_frontier;top200_recent_form_fade;top200_primary,projection_side_split;thin_context_completeness;total_environment_against_side,thin_context_completeness;total_environment_against_side,competitive_spread
