date,selectedRank,playerName,teamCode,gameKey,market,side,tier,month,modelLine,lineBucket,actualValue,modelCorrect,estimatedAccuracyPriorPct,priorBucket,finalScore,finalScoreBucket,matchStatus,strictProofMatch,candidateCount,sameSideCount,lineMatchCount,externalLine,externalOdds,priceBucket,externalBook,externalSource,externalSourceUrl,lineTimestampUtc,gameTimeUtc,closeLine,closeOdds,closeTimestampUtc,resultAtExternalLine,stakeUnits,profitUnits,lineClv,oddsClv,coverageTier,coverageLine,coverageOdds,coverageBook,coverageSource,coverageSourceUrl,coverageIsExternal,coverageIsExactExternal,coverageLineGap,coverageAbsLineGap,coverageSideAwareLineGap,resultAtCoverageLine,coverageStakeUnits,coverageProfitUnits
2026-04-02,3,Mark Williams,PHX,0022501114,REB,UNDER,S,2026-04,5.5,5-9.5,4.0,True,95.15,94+,0.85483,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,5.5,-143.5,-149 to -120,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10711570&market=rebounds,,,,,,WIN,1.0,0.696864,,,EXACT_EXTERNAL_LINE_VALID_ODDS,5.5,-143.5,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10711570&market=rebounds,True,True,0.0,0.0,0.0,WIN,1.0,0.696864
2026-04-02,4,Deni Avdija,POR,0022501118,PRA,UNDER,A,2026-04,41.5,30+,41.0,True,90.71,90-92,0.932215,0.90+,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,41.5,-119.0,-119 to -100,bet365,scoresandodds,https://www.scoresandodds.com/nba/pelicans-vs-trail-blazers,,,,,,WIN,1.0,0.840336,,,EXACT_EXTERNAL_LINE_VALID_ODDS,41.5,-119.0,bet365,scoresandodds,https://www.scoresandodds.com/nba/pelicans-vs-trail-blazers,True,True,0.0,0.0,0.0,WIN,1.0,0.840336
2026-04-02,5,Ayo Dosunmu,MIN,0022501115,REB,OVER,A,2026-04,4.5,<5,5.0,True,90.71,90-92,0.891147,0.85-0.90,MATCHED_EXACT_LINE_INVALID_ODDS,False,2,1,1,4.5,-19.5,UNKNOWN,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10711580&market=rebounds,,,,,,,,,,,INTERNAL_MODEL_LINE_ASSUMED_ODDS,4.5,-110.0,assumed,internal-model-line-assumed-odds,,False,False,0.0,0.0,0.0,WIN,1.0,0.909091
2026-04-02,6,Kawhi Leonard,LAC,0022501119,AST,UNDER,A,2026-04,3.5,<5,5.0,False,90.71,90-92,0.849224,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,3.5,-112.0,-119 to -100,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10711600&market=assists,,,,,,LOSS,1.0,-1.0,,,EXACT_EXTERNAL_LINE_VALID_ODDS,3.5,-112.0,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10711600&market=assists,True,True,0.0,0.0,0.0,LOSS,1.0,-1.0
2026-04-03,1,Alperen Sengun,HOU,0022501124,PTS,UNDER,S,2026-04,19.5,15-19.5,19.0,True,94.8,94+,0.872115,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,20.5,-117.5,-119 to -100,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781520&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,20.5,-117.5,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781520&market=points,True,False,1.0,1.0,-1.0,WIN,1.0,0.851064
2026-04-03,2,Cooper Flagg,DAL,0022501127,PTS,OVER,A,2026-04,24.5,20-24.5,51.0,True,91.06,90-92,0.942359,0.90+,NO_EXACT_LINE_MATCH,False,2,1,0,23.5,-122.5,-149 to -120,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781530&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,23.5,-122.5,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781530&market=points,True,False,-1.0,1.0,-1.0,WIN,1.0,0.816327
2026-04-03,3,Quentin Grimes,PHI,0022501121,PRA,UNDER,A,2026-04,15.5,15-19.5,15.0,True,90.71,90-92,0.937978,0.90+,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,15.5,-127.0,-149 to -120,fanduel,scoresandodds,https://www.scoresandodds.com/nba/76ers-vs-timberwolves,,,,,,WIN,1.0,0.787402,,,EXACT_EXTERNAL_LINE_VALID_ODDS,15.5,-127.0,fanduel,scoresandodds,https://www.scoresandodds.com/nba/76ers-vs-timberwolves,True,True,0.0,0.0,0.0,WIN,1.0,0.787402
2026-04-03,4,Mitchell Robinson,NYK,0022501123,REB,UNDER,A,2026-04,11.5,10-14.5,11.0,True,90.71,90-92,0.922192,0.90+,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,11.5,-121.0,-149 to -120,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781480&market=rebounds,,,,,,WIN,1.0,0.826446,,,EXACT_EXTERNAL_LINE_VALID_ODDS,11.5,-121.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781480&market=rebounds,True,True,0.0,0.0,0.0,WIN,1.0,0.826446
2026-04-03,5,Nique Clifford,SAC,0022501128,AST,OVER,A,2026-04,4.5,<5,6.0,True,91.06,90-92,0.895647,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,3.5,-130.0,-149 to -120,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781540&market=assists,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,3.5,-130.0,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781540&market=assists,True,False,-1.0,1.0,-1.0,WIN,1.0,0.769231
2026-04-03,6,Derrick White,BOS,0022501126,REB,UNDER,A,2026-04,3.5,<5,3.0,True,91.06,90-92,0.887474,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,4.5,120.0,+100 to +149,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781500&market=rebounds,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,4.5,120.0,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10781500&market=rebounds,True,False,1.0,1.0,-1.0,WIN,1.0,1.2
2026-04-04,1,Justin Champagnie,WAS,0022501129,PTS,OVER,S,2026-04,10.5,10-14.5,12.0,True,93.7,92-94,0.86552,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,9.5,-123.0,-149 to -120,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10794810&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,9.5,-123.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10794810&market=points,True,False,-1.0,1.0,-1.0,WIN,1.0,0.813008
2026-04-04,2,Jamal Murray,DEN,0022501130,PTS,UNDER,A,2026-04,24.5,20-24.5,15.0,True,91.06,90-92,0.94267,0.90+,NO_EXACT_LINE_MATCH,False,2,1,0,25.5,-120.0,-149 to -120,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10794830&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,25.5,-120.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10794830&market=points,True,False,1.0,1.0,-1.0,WIN,1.0,0.833333
2026-04-04,3,Victor Wembanyama,SAS,0022501130,PRA,OVER,A,2026-04,38.0,30+,59.0,True,90.71,90-92,0.896225,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,38.0,-128.5,-149 to -120,prizepicks,scoresandodds,https://www.scoresandodds.com/nba/nuggets-vs-spurs,,,,,,WIN,1.0,0.77821,,,EXACT_EXTERNAL_LINE_VALID_ODDS,38.0,-128.5,prizepicks,scoresandodds,https://www.scoresandodds.com/nba/nuggets-vs-spurs,True,True,0.0,0.0,0.0,WIN,1.0,0.77821
