playerName,allEightAt80,targetHitCount,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
Tari Eason,true,8,39,87.18,41.67,true,39,87.18,41.67,true,39,82.05,33.33,true,36,88.89,18.18,true,29,86.21,55.56,true,29,86.21,11.11,true,29,89.66,44.44,true,29,82.76,55.56,true
Taurean Prince,false,3,6,100,,true,5,100,,true,5,100,,true,,,,,,,,,,,,,,,,,,,,
Taylor Hendricks,true,8,21,90.48,71.43,true,21,90.48,42.86,true,18,83.33,66.67,true,13,92.31,50,true,18,88.89,66.67,true,18,88.89,66.67,true,18,88.89,66.67,true,18,100,50,true
Terance Mann,false,6,49,77.55,40,false,48,79.17,60,false,48,87.5,26.67,true,43,90.7,53.85,true,25,88,62.5,true,25,88,62.5,true,25,92,50,true,25,88,75,true
Thomas Bryant,false,7,7,100,,true,7,100,,true,6,100,,true,,,,,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Tidjane Salaün,true,8,15,86.67,40,true,15,93.33,80,true,15,100,40,true,3,100,,true,12,91.67,50,true,10,100,66.67,true,12,83.33,50,true,10,100,0,true
Tim Hardaway Jr.,false,1,,,,,,,,,,,,,34,97.06,54.55,true,,,,,,,,,,,,,,,,
Tobias Harris,false,7,45,91.11,64.29,true,44,79.55,57.14,false,45,84.44,85.71,true,42,83.33,38.46,true,29,82.76,66.67,true,29,89.66,66.67,true,29,86.21,55.56,true,29,89.66,66.67,true
Tony Bradley,false,3,4,100,,true,4,100,,true,4,100,,true,,,,,,,,,,,,,,,,,,,,
Toumani Camara,false,5,64,84.38,60,true,64,70.31,50,false,63,80.95,36.84,true,64,76.56,40,false,41,82.93,69.23,true,39,76.92,58.33,false,40,85,50,true,41,80.49,53.85,true
Trae Young,true,8,10,100,33.33,true,10,100,33.33,true,10,90,66.67,true,10,100,33.33,true,5,100,,true,5,100,,true,5,100,,true,5,100,,true
Trayce Jackson-Davis,false,3,4,100,,true,4,100,,true,4,100,,true,,,,,,,,,,,,,,,,,,,,
Tre Johnson,false,7,48,91.67,66.67,true,48,83.33,53.33,true,48,87.5,66.67,true,37,75.68,25,false,30,86.67,22.22,true,31,83.87,60,true,31,90.32,50,true,31,90.32,40,true
Tre Jones,false,5,46,80.43,35.71,true,45,75.56,57.14,false,46,78.26,42.86,false,36,72.22,45.45,false,22,86.36,57.14,true,22,90.91,42.86,true,22,95.45,14.29,true,22,81.82,57.14,true
Tre Mann,false,7,16,87.5,60,true,16,87.5,20,true,16,93.75,60,true,,,,,5,100,,true,5,100,,true,5,100,,true,5,100,,true
Trendon Watford,true,8,18,88.89,33.33,true,18,94.44,16.67,true,18,94.44,66.67,true,7,100,,true,8,100,33.33,true,9,100,66.67,true,9,100,33.33,true,9,100,0,true
Trey Murphy III,false,1,,,,,,,,,,,,,53,83.02,56.25,true,,,,,,,,,,,,,,,,
Tristan da Silva,false,6,52,82.69,62.5,true,52,80.77,37.5,true,52,76.92,31.25,false,29,75.86,44.44,false,20,100,16.67,true,20,95,66.67,true,20,100,50,true,20,95,33.33,true
Tristan Vukcevic,true,8,10,100,33.33,true,9,88.89,33.33,true,7,100,,true,3,100,,true,10,100,0,true,10,90,0,true,10,100,66.67,true,9,100,66.67,true
Ty Jerome,false,7,10,100,66.67,true,9,100,33.33,true,10,100,100,true,8,100,33.33,true,9,88.89,66.67,true,9,100,33.33,true,9,88.89,66.67,true,9,77.78,66.67,false
Tyler Herro,true,8,20,95,50,true,19,94.74,50,true,20,100,50,true,19,94.74,33.33,true,12,91.67,25,true,12,91.67,75,true,12,100,50,true,12,91.67,50,true
Tyler Kolek,true,8,13,92.31,25,true,13,100,75,true,13,92.31,50,true,3,100,,true,5,80,,true,5,100,,true,5,100,,true,5,80,,true
Tyrese Martin,false,4,21,95.24,57.14,true,21,85.71,42.86,true,21,85.71,57.14,true,9,88.89,66.67,true,,,,,,,,,,,,,,,,
Tyrese Maxey,false,4,60,78.33,61.11,false,59,77.97,38.89,false,60,78.33,33.33,false,59,84.75,44.44,true,29,86.21,44.44,true,29,89.66,33.33,true,29,79.31,33.33,false,29,82.76,33.33,true
Tyrese Proctor,true,8,4,100,,true,4,100,,true,4,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Tyus Jones,true,8,22,90.91,71.43,true,22,86.36,57.14,true,23,91.3,57.14,true,9,100,66.67,true,9,100,33.33,true,9,100,33.33,true,9,88.89,33.33,true,9,100,33.33,true
Victor Wembanyama,false,7,50,88,53.33,true,50,82,40,true,49,81.63,33.33,true,39,89.74,58.33,true,35,85.71,36.36,true,35,82.86,45.45,true,35,85.71,27.27,true,35,74.29,45.45,false
Vince Williams Jr.,false,1,,,,,,,,,,,,,15,86.67,40,true,,,,,,,,,,,,,,,,
Vít Krejčí,false,6,49,79.59,46.67,false,47,91.49,66.67,true,48,75,40,false,23,86.96,28.57,true,28,92.86,33.33,true,28,92.86,33.33,true,27,85.19,33.33,true,28,89.29,66.67,true
VJ Edgecombe,false,7,56,83.93,58.82,true,56,73.21,47.06,false,55,81.82,41.18,true,54,85.19,64.71,true,31,87.1,40,true,31,83.87,30,true,31,87.1,40,true,31,83.87,50,true
Walker Kessler,false,4,4,100,,true,4,100,,true,4,100,,true,4,100,,true,,,,,,,,,,,,,,,,
Walter Clayton Jr.,false,1,,,,,,,,,,,,,8,100,66.67,true,,,,,,,,,,,,,,,,
Wendell Carter Jr.,false,1,,,,,,,,,,,,,44,84.09,42.86,true,,,,,,,,,,,,,,,,
Will Richard,true,8,33,84.85,60,true,33,84.85,50,true,31,87.1,50,true,16,93.75,40,true,17,94.12,33.33,true,17,88.24,33.33,true,18,94.44,50,true,17,100,33.33,true
Will Riley,false,7,27,77.78,44.44,false,25,88,87.5,true,24,87.5,50,true,10,100,33.33,true,17,94.12,16.67,true,17,94.12,16.67,true,17,94.12,16.67,true,17,94.12,33.33,true
Xavier Tillman,false,3,1,100,,true,1,100,,true,1,100,,true,,,,,,,,,,,,,,,,,,,,
Yang Hansen,false,4,2,100,,true,2,100,,true,1,100,,true,1,100,,true,,,,,,,,,,,,,,,,
Yves Missi,false,7,30,80,66.67,true,30,93.33,66.67,true,29,86.21,33.33,true,,,,,14,85.71,20,true,15,93.33,0,true,15,93.33,60,true,15,100,60,true
Zaccharie Risacher,false,4,49,83.67,53.33,true,49,89.8,53.33,true,48,72.92,66.67,false,45,77.78,71.43,false,34,91.18,36.36,true,34,79.41,27.27,false,34,91.18,45.45,true,34,79.41,45.45,false
Zach Collins,true,8,9,100,100,true,9,100,100,true,8,100,33.33,true,1,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Zach Edey,false,4,10,100,66.67,true,10,100,33.33,true,10,100,66.67,true,3,100,,true,,,,,,,,,,,,,,,,
Zach LaVine,false,6,38,92.11,66.67,true,38,86.84,50,true,38,76.32,41.67,false,34,79.41,27.27,false,19,94.74,66.67,true,19,94.74,66.67,true,19,94.74,66.67,true,19,100,50,true
Zeke Nnaji,true,8,13,92.31,50,true,13,92.31,25,true,13,92.31,50,true,3,100,,true,8,100,33.33,true,8,100,66.67,true,8,100,33.33,true,8,100,66.67,true
Ziaire Williams,true,8,33,81.82,80,true,35,97.14,63.64,true,32,93.75,60,true,17,94.12,83.33,true,13,84.62,25,true,13,84.62,25,true,14,92.86,20,true,13,100,75,true
Zion Williamson,false,7,46,82.61,42.86,true,46,80.43,42.86,true,46,80.43,57.14,true,1,100,,true,33,90.91,20,true,33,78.79,40,false,33,90.91,50,true,33,90.91,50,true
